nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,games_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,games_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,games_champ_3,winrate_champ_3,champ_4,regional_rank_4,kills_champ_4,deaths_champ_4,assists_champ_4,games_champ_4,winrate_champ_4,champ_5,regional_rank_5,kills_champ_5,deaths_champ_5,assists_champ_5,games_champ_5,winrate_champ_5,champ_6,regional_rank_6,kills_champ_6,deaths_champ_6,assists_champ_6,games_champ_6,winrate_champ_6,champ_7,regional_rank_7,kills_champ_7,deaths_champ_7,assists_champ_7,games_champ_7,winrate_champ_7,champ_8,regional_rank_8,kills_champ_8,deaths_champ_8,assists_champ_8,games_champ_8,winrate_champ_8
역천괴,Ashe,926,2.4,5.9,15.1,31,54.8,Caitlyn,831,4.6,6.8,9.2,19,57.9,Karma,3196,2.5,2.9,12.5,12,75.0,Varus,906,5.8,8.3,10.8,12,50.0,Lee Sin,7437,7.7,4.8,7.3,11,63.6,Heimerdinger,5692,3.3,5.2,11.0,10,80.0,Pyke,602,4.8,6.1,9.9,9,55.6,Ezreal,0,6.0,5.8,4.3,6,50.0
blaberfish2,Lee Sin,8,7.9,5.0,9.4,27,55.6,Sylas,291,9.8,6.1,8.7,18,77.8,Graves,307,7.6,5.8,8.3,16,62.5,Kindred,482,6.9,5.8,6.5,13,69.2,Akali,429,5.8,6.6,5.0,12,41.7,Vi,2212,6.5,4.9,7.4,11,54.5,Gragas,1329,8.6,2.8,9.6,10,80.0,Elise,158,8.9,5.9,10.7,7,71.4
dajor25,Sylas,400,7.4,5.9,6.3,42,64.3,Syndra,111,5.9,5.1,6.1,25,52.0,Irelia,1923,5.8,6.5,4.0,23,56.5,Yone,1184,6.3,4.6,5.2,19,63.2,Vex,973,7.7,4.4,5.9,16,68.8,Viktor,412,7.0,4.9,5.1,16,62.5,Ryze,1128,5.9,4.9,5.3,15,66.7,Kai'Sa,570,5.0,7.6,4.7,14,21.4
school phobia,Ashe,6,2.8,5.0,14.3,53,60.4,Karma,16,2.5,4.0,13.9,25,68.0,Nautilus,539,1.1,6.6,13.4,24,45.8,Seraphine,1645,4.0,3.5,10.3,22,59.1,Lulu,734,1.5,4.9,14.6,20,55.0,Heimerdinger,1840,3.9,5.2,10.9,18,55.6,Lux,936,3.1,5.3,13.5,16,62.5,Rakan,5072,1.9,3.9,16.8,15,80.0
BiIIy Butcher1,Kled,53,6.3,4.0,6.3,30,66.7,Olaf,140,7.7,5.5,4.6,22,77.3,Jax,315,4.8,4.5,3.3,22,59.1,K'Sante,3482,5.2,4.3,6.0,22,59.1,Akshan,517,6.4,5.9,4.5,19,42.1,Jayce,2010,7.1,6.2,5.9,17,58.8,Karma,1801,4.0,3.3,12.5,15,66.7,Cassiopeia,954,4.7,5.2,4.6,13,69.2
C9 Fudge,Gragas,530,4.4,3.6,7.3,20,55.0,Jayce,435,6.6,5.3,5.6,19,57.9,Jax,1186,6.7,6.3,5.1,15,46.7,Fiora,2713,4.9,4.1,3.6,14,57.1,Irelia,1292,5.8,5.5,3.8,12,41.7,K'Sante,2684,4.1,3.9,5.5,11,54.5,Sylas,617,7.9,5.2,6.7,10,80.0,Gnar,536,8.9,4.7,7.7,7,71.4
I Love Uber Eats,Vi,28,5.0,4.9,9.2,66,51.5,Maokai,81,4.2,3.9,10.8,50,64.0,Wukong,23,7.2,5.3,7.7,45,48.9,Poppy,290,5.1,4.9,10.0,32,56.3,Ornn,96,2.5,4.1,9.1,24,66.7,Elise,283,8.0,4.5,7.5,23,56.5,Gragas,1466,4.2,3.3,8.6,18,66.7,Jarvan IV,776,5.4,6.4,13.5,18,44.4
mersa777,Rakan,191,2.2,4.5,20.5,13,84.6,Ashe,538,2.3,5.0,12.7,12,58.3,Nautilus,4440,1.7,6.2,16.5,11,90.9,Heimerdinger,313,4.0,8.8,11.3,10,40.0,Karma,3300,1.3,4.0,12.0,9,44.4,Gragas,0,2.0,4.8,8.4,8,37.5,Thresh,0,0.1,4.6,12.9,7,57.1,Annie,0,1.9,6.4,12.3,7,42.9
Targamas,Senna,52,4.3,4.5,13.0,56,58.9,Ashe,23,2.6,5.0,13.4,56,58.9,Pyke,22,6.9,4.4,10.9,47,61.7,Heimerdinger,44,3.5,5.8,11.1,26,57.7,Lux,321,3.9,4.8,11.8,23,52.2,Karma,2482,2.3,3.9,14.9,20,70.0,Rakan,740,1.5,3.8,15.8,18,66.7,Rell,1073,1.7,4.5,14.7,17,47.1
호잇이,Bardo,79,1.9,3.7,12.9,44,63.6,Jhin,14,4.8,4.9,10.1,37,67.6,Ashe,164,2.1,5.0,11.4,31,51.6,Annie,1261,2.7,4.9,12.8,15,60.0,Rakan,1518,1.5,4.2,12.5,15,60.0,Blitzcrank,1392,2.3,4.1,13.4,15,40.0,Twitch,6525,7.9,7.7,8.5,14,35.7,Pyke,3404,4.3,4.3,9.4,12,75.0
