nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
NO MORE ONE TIME,6.3,4.7,5.0,Top,141,59.6,Mid,2.0,100.0,AD Carry,1.0,100.0
shibidi bob yes,4.6,4.8,11.4,Support,174,63.2,Mid,12.0,16.7,AD Carry,12.0,50.0
waywode,6.0,5.3,5.4,Mid,220,58.2,Jungler,34.0,44.1,Top,11.0,45.5
Só o barril,6.1,4.2,6.8,Top,111,60.4,Mid,9.0,55.6,Support,3.0,33.3
RNG Ming 9,3.3,5.6,12.4,Support,164,57.9,AD Carry,30.0,33.3,Jungler,5.0,0.0
C9 Lost,7.7,4.2,6.5,AD Carry,206,59.7,Mid,9.0,55.6,Support,2.0,50.0
FX Disamis,9.1,5.3,8.4,Jungler,77,66.2,Mid,9.0,55.6,Top,1.0,100.0
vvx1585410146,3.4,5.0,12.9,Support,115,64.3,AD Carry,23.0,43.5,Mid,18.0,33.3
M Α R T Ο,7.9,5.1,5.9,Mid,170,60.0,Top,37.0,43.2,Jungler,11.0,27.3
Gigachad SamD,7.5,4.1,7.1,AD Carry,131,70.2,Top,12.0,58.3,Support,10.0,70.0
cena,6.0,4.5,7.8,Jungler,370,55.7,Support,50.0,52.0,Top,23.0,34.8
找陪練去nicee,3.9,2.8,6.5,Top,66,66.7,Mid,44.0,70.5,Support,6.0,33.3
Mauro Dinosauro,5.9,3.9,8.9,Jungler,135,61.5,Top,4.0,75.0,Mid,1.0,0.0
SN Angel,6.4,5.5,6.4,Mid,319,57.7,Top,86.0,40.7,AD Carry,27.0,51.9
ThayT,5.9,4.0,10.0,Jungler,128,57.0,Support,23.0,56.5,Mid,10.0,50.0
sarah cameronn,8.8,5.9,7.2,Mid,174,59.8,Jungler,25.0,44.0,AD Carry,10.0,40.0
hagridthebigG,5.7,6.3,10.1,Top,70,50.0,Mid,48.0,56.3,Support,38.0,71.1
M1dLaoBan,6.1,5.5,7.0,Mid,353,53.3,AD Carry,70.0,55.7,Top,5.0,80.0
AYELGODLIKEMODE,6.1,6.0,6.9,Top,525,54.1,Mid,24.0,45.8,Jungler,9.0,44.4
LordBastionIII,1.7,5.2,15.2,Top,266,55.6,Support,45.0,48.9,AD Carry,11.0,63.6
bbeNj,6.6,4.6,6.2,AD Carry,301,51.8,Mid,12.0,50.0,Top,4.0,50.0
Aimi Morii,6.6,4.6,6.9,AD Carry,203,60.6,Support,25.0,44.0,Top,6.0,33.3
SnowFlow2r,4.0,5.8,12.1,Support,325,59.4,AD Carry,25.0,56.0,Top,1.0,0.0
random gap,5.9,4.2,5.9,Mid,105,53.3,Top,101.0,59.4,Jungler,3.0,66.7
la mas envidiosa,1.9,4.7,12.8,Support,249,55.8,Mid,33.0,45.5,AD Carry,6.0,50.0
MURILAAAAAAAAAAO,2.7,4.7,12.2,Support,242,53.7,Top,19.0,31.6,Mid,16.0,56.3
Quakee,6.3,5.5,8.1,AD Carry,137,64.2,Jungler,102.0,52.9,Top,77.0,46.8
Pubiro,8.3,5.8,5.9,Mid,130,60.8,AD Carry,29.0,58.6,Top,3.0,100.0
RED Morttheus,8.2,4.4,6.8,AD Carry,243,56.0,Mid,22.0,59.1,Top,1.0,0.0
kygoo,6.4,5.7,6.0,Mid,193,55.4,AD Carry,48.0,64.6,Jungler,6.0,33.3
6K Meaning,4.4,5.0,5.3,Top,162,56.2,Mid,6.0,50.0,Support,1.0,100.0
Airobloodin,2.4,4.0,13.1,Support,127,62.2,Mid,11.0,36.4,AD Carry,3.0,33.3
JUGKlNG,7.0,4.6,8.1,Jungler,114,69.3,Top,22.0,77.3,Support,8.0,37.5
Sołitaire,4.7,4.2,6.3,Top,93,59.1,Jungler,24.0,50.0,Mid,13.0,53.8
IMT Revenge,6.1,4.7,5.5,Top,131,59.5,Mid,25.0,52.0,AD Carry,6.0,66.7
FUR Gru,6.6,5.4,5.3,Top,153,57.5,AD Carry,2.0,50.0,Mid,1.0,100.0
lisan hehe,7.0,4.4,8.2,Support,83,65.1,Mid,28.0,60.7,Top,12.0,66.7
jamican banana,3.8,3.1,11.2,Jungler,331,54.1,Mid,32.0,50.0,Support,13.0,30.8
is me bro,9.0,8.3,6.9,AD Carry,352,55.7,Mid,13.0,38.5,Top,4.0,25.0
Cozy Poca,7.0,6.2,6.6,AD Carry,276,56.9,Mid,23.0,34.8,Top,6.0,50.0
