nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
Lorlor,5.1,5.8,8.6,Mid,230,53.9,Support,41.0,46.3,AD Carry,3.0,33.3
Loop,3.1,5.4,13.1,Support,236,52.5,Mid,16.0,62.5,AD Carry,5.0,20.0
awav,6.1,4.6,8.7,Jungler,201,56.2,Top,6.0,16.7,Mid,3.0,33.3
BetU eret,6.8,5.4,9.1,Top,81,54.3,Jungler,76.0,64.5,Mid,8.0,25.0
Twind,10.9,5.8,4.7,Mid,48,72.9,Top,18.0,66.7,Jungler,2.0,100.0
alim,6.3,7.2,11.4,Support,92,59.8,AD Carry,39.0,56.4,Top,8.0,75.0
더기 김경덕,5.2,4.6,5.3,Top,461,53.4,Support,27.0,44.4,Mid,14.0,57.1
lvoryy,5.3,5.2,6.1,Mid,397,51.4,Jungler,37.0,54.1,AD Carry,30.0,66.7
SLEZZY77,6.4,5.5,5.9,Top,132,50.0,Mid,124.0,57.3,AD Carry,52.0,53.8
megx ª,2.0,5.0,13.3,Support,341,54.0,Mid,11.0,45.5,AD Carry,2.0,0.0
l1ttlefish,4.5,4.7,8.6,Jungler,223,56.1,Mid,12.0,33.3,Top,4.0,100.0
ADcaarry,6.9,5.5,6.0,AD Carry,315,54.0,Mid,34.0,67.6,Top,1.0,0.0
fjlnxm,7.9,5.2,6.3,Jungler,119,53.8,Mid,29.0,55.2,Top,22.0,54.5
Fire Ninja,7.2,4.1,5.5,Top,69,72.5,Mid,6.0,33.3,Jungler,3.0,66.7
ismααα,6.9,4.0,9.5,Jungler,268,55.6,Mid,6.0,50.0,Support,2.0,50.0
xayah rakan,6.9,6.9,9.6,Jungler,255,52.5,Support,41.0,51.2,Top,13.0,53.8
SaintedSamson,3.8,5.4,6.9,Top,175,55.4,Mid,4.0,50.0,Support,4.0,50.0
Brex,6.8,5.4,7.8,Jungler,192,57.8,Top,187.0,49.7,Mid,18.0,50.0
Random 752937,6.2,6.5,4.8,Top,277,51.6,Mid,8.0,25.0,AD Carry,8.0,25.0
braydon,2.9,5.9,13.2,Support,118,56.8,Mid,8.0,50.0,Top,3.0,33.3
Mörkö,7.0,5.1,6.7,AD Carry,368,55.7,Support,22.0,40.9,Mid,14.0,14.3
Rarity in GaIaxy,6.9,7.1,9.5,Mid,253,54.2,Jungler,120.0,49.2,Support,58.0,65.5
panties off,7.6,5.0,5.4,Jungler,198,57.1,Top,157.0,51.0,Mid,41.0,34.1
gameovergameover,5.5,4.6,8.1,Jungler,166,59.6,Top,70.0,45.7,Support,37.0,54.1
Ipados,5.3,5.4,9.6,Mid,225,55.6,AD Carry,23.0,56.5,Support,11.0,45.5
China yung,7.0,6.2,7.7,AD Carry,115,58.3,Support,53.0,50.9,Mid,26.0,57.7
yerbamate,7.3,6.4,5.7,Mid,221,51.6,Jungler,33.0,42.4,Top,6.0,33.3
homielander,4.7,5.0,9.0,Mid,110,55.5,Support,38.0,57.9,AD Carry,14.0,50.0
qkrl,3.0,5.0,14.4,Support,199,57.8,Jungler,10.0,80.0,Mid,8.0,75.0
BEST POUTlNE QC,1.9,4.6,13.5,Support,191,56.0,AD Carry,11.0,54.5,Jungler,1.0,100.0
Hope,2.1,4.8,14.4,Support,179,59.2,Mid,12.0,75.0,AD Carry,1.0,100.0
ASTROTHUNDER8,6.7,5.0,4.7,Top,78,62.8,Mid,5.0,40.0,Jungler,3.0,33.3
Tần Số Dao Động,7.0,4.7,6.9,AD Carry,179,55.9,Support,12.0,66.7,Mid,6.0,33.3
Road2Narnia,3.1,5.6,11.8,Support,157,54.8,Jungler,15.0,60.0,Mid,14.0,50.0
AEGIS EIKA,5.3,4.7,7.4,Mid,282,56.7,Support,16.0,43.8,Jungler,15.0,40.0
Better Top,6.2,4.6,6.7,Mid,91,57.1,AD Carry,81.0,54.3,Top,16.0,37.5
Davion,2.6,3.8,11.8,Support,146,58.9,Top,17.0,58.8,AD Carry,9.0,33.3
Gabriel Scarabel,7.8,5.5,6.7,Jungler,174,56.3,Mid,19.0,31.6,Top,10.0,30.0
iYuki,7.0,4.4,6.7,Jungler,79,54.4,Mid,25.0,60.0,AD Carry,14.0,64.3
lllllllllllllllp,6.2,4.9,6.3,Jungler,152,52.0,Top,11.0,63.6,Support,6.0,50.0
shiB,7.4,4.8,7.2,Jungler,277,56.3,Mid,112.0,54.5,Top,23.0,65.2
WanBieJi,5.3,5.0,5.1,Top,356,55.9,AD Carry,10.0,40.0,Jungler,4.0,75.0
SNøWMAKéR,4.5,4.7,8.8,Mid,245,54.7,Support,68.0,54.4,Top,6.0,66.7
zoom zoom boy,4.7,3.6,4.9,Top,131,55.7,Mid,3.0,33.3,Jungler,1.0,0.0
Stop hesitating,6.0,5.1,7.3,AD Carry,271,59.4,Top,58.0,51.7,Mid,9.0,55.6
Ryuji Mazino,4.7,5.7,11.7,Support,157,51.0,AD Carry,98.0,71.4,Jungler,9.0,55.6
little akh,5.7,4.2,5.6,Mid,241,54.4,Top,69.0,58.0,Support,62.0,29.0
Capybara Attack,10.3,5.4,5.9,Mid,35,68.6,AD Carry,24.0,75.0,Top,4.0,0.0
gRIZZlybear123,7.9,4.3,8.6,Jungler,310,56.5,Mid,14.0,57.1,AD Carry,13.0,46.2
El Capitàn Beto,4.4,4.0,8.9,Mid,168,53.6,Jungler,133.0,50.4,Support,94.0,54.3
DrewDozer,5.4,6.7,7.9,Mid,81,49.4,Top,59.0,59.3,Jungler,14.0,57.1
Dark Aura,8.3,6.4,6.8,Jungler,418,54.8,Mid,16.0,31.3,Top,9.0,44.4
TheAfricanDream,5.4,3.9,9.2,Mid,237,55.3,AD Carry,15.0,26.7,Support,15.0,53.3
ABOMINATION 2,5.4,5.3,5.2,Top,386,51.0,Mid,90.0,56.7,Jungler,2.0,0.0
T i c k k y,5.5,4.6,8.5,Jungler,277,57.0,Top,61.0,47.5,Support,22.0,50.0
Katanirô,6.7,6.8,7.6,Mid,218,55.0,Support,50.0,42.0,Top,9.0,55.6
Run Away To Mars,6.3,5.5,10.6,Mid,67,55.2,Jungler,53.0,50.9,Top,46.0,56.5
ΒΑTMAN,6.6,5.6,8.6,Support,187,46.5,Mid,158.0,59.5,AD Carry,41.0,53.7
Matsouza,2.4,5.1,13.8,Support,253,54.2,Jungler,40.0,55.0,Top,4.0,25.0
mac 10,2.3,4.1,12.1,Support,349,53.3,AD Carry,13.0,15.4,Mid,7.0,14.3
Tín anh yêu,5.0,5.9,12.9,Support,260,56.5,Mid,12.0,58.3,AD Carry,8.0,62.5
Croquinho,5.9,5.6,4.5,Top,179,55.3,Mid,10.0,40.0,Jungler,9.0,77.8
Crash Bandicoot3,4.9,4.2,8.5,Jungler,206,54.4,Top,14.0,28.6,Mid,14.0,42.9
EatenN,6.9,6.1,5.4,Top,128,63.3,AD Carry,15.0,60.0,Mid,5.0,80.0
asdqeeee,6.8,4.7,7.9,AD Carry,209,59.3,Mid,50.0,42.0,Support,49.0,53.1
end of the road,4.2,2.6,8.3,Top,135,59.3,Mid,6.0,33.3,AD Carry,2.0,100.0
Fuba Ahri,6.6,4.4,6.6,AD Carry,142,56.3,Mid,12.0,66.7,Top,1.0,100.0
SK JENAX,5.4,4.5,6.4,Top,175,51.4,Jungler,17.0,58.8,Support,12.0,58.3
Thebigestnoob1,7.1,5.5,6.7,AD Carry,567,50.8,Mid,40.0,60.0,Top,1.0,100.0
Kaiba,8.2,4.6,8.6,Jungler,57,66.7,Mid,8.0,62.5,AD Carry,4.0,50.0
PENGUIN L,6.2,4.7,8.0,Mid,184,53.8,Jungler,20.0,65.0,Top,12.0,58.3
Jaelon Acklin,6.7,4.1,8.3,Jungler,135,57.0,Top,11.0,54.5,Mid,8.0,75.0
FUT StarScreen,5.4,5.4,6.0,Top,487,52.4,Support,18.0,55.6,Mid,6.0,50.0
beryl187502,2.7,4.7,13.2,Support,100,62.0,Mid,5.0,40.0,AD Carry,3.0,33.3
Farketmez1256,3.4,5.7,14.2,Support,303,53.5,AD Carry,15.0,40.0,Mid,7.0,14.3
wqs,6.5,6.2,7.9,AD Carry,358,51.7,Support,55.0,65.5,Mid,27.0,63.0
jjking10,4.8,5.0,4.3,Top,343,54.5,Mid,29.0,48.3,Support,4.0,0.0
Chachi Only,6.3,3.5,5.2,Mid,236,54.7,Top,37.0,45.9,Support,8.0,37.5
41205,6.3,4.4,5.3,Top,85,63.5,Mid,6.0,50.0,AD Carry,1.0,0.0
bulecha,3.4,4.7,11.5,Support,220,55.5,Mid,23.0,34.8,Jungler,13.0,46.2
B Ζ,6.7,4.8,5.9,Mid,333,51.4,Jungler,77.0,57.1,Top,19.0,47.4
It Neulnnyr,5.8,6.5,9.2,Mid,81,45.7,AD Carry,60.0,58.3,Jungler,54.0,53.7
ŞAHBET GETİR LAN,7.8,7.0,7.0,AD Carry,218,56.0,Jungler,35.0,45.7,Mid,22.0,54.5
no hate i learn,6.6,5.8,7.1,Mid,146,54.1,Top,47.0,48.9,Support,20.0,50.0
Thago,5.2,4.8,5.6,Top,322,52.2,Mid,20.0,55.0,Support,12.0,50.0
NS OddEye,6.5,4.8,7.1,AD Carry,463,52.3,Mid,25.0,56.0,Support,19.0,52.6
kolateral,6.3,5.6,7.0,AD Carry,191,53.9,Mid,25.0,40.0,Top,9.0,44.4
Ilyich Ulianov1,8.7,3.4,4.8,Mid,91,65.9,Jungler,19.0,68.4,Top,1.0,100.0
FSS LYON,6.2,5.8,6.8,AD Carry,247,53.4,Mid,10.0,60.0,Top,2.0,100.0
Betongmisch Gary,5.9,5.8,10.1,Jungler,166,56.6,Support,63.0,44.4,Mid,4.0,25.0
Kikulot1,4.7,4.9,5.6,Top,168,58.3,Jungler,19.0,47.4,Support,9.0,55.6
On Meta Rank,5.1,5.1,7.3,Mid,298,53.4,Top,75.0,56.0,Support,10.0,50.0
Pipibaat Yarr,5.8,4.1,7.5,Jungler,230,53.0,AD Carry,18.0,55.6,Top,17.0,52.9
Coniy,6.6,6.2,5.7,Top,204,53.4,Jungler,10.0,60.0,Mid,10.0,40.0
UL JAMES BOND,6.9,4.9,6.1,AD Carry,354,53.7,Mid,16.0,31.3,Support,5.0,40.0
Mito Supremo,5.1,5.2,5.5,Top,234,52.1,Mid,6.0,16.7,Support,3.0,66.7
Chocolate Avelã,4.6,4.2,9.4,Mid,93,54.8,Support,76.0,55.3,AD Carry,46.0,52.2
Priculeanu,6.0,6.1,6.2,Mid,186,55.4,AD Carry,22.0,45.5,Top,2.0,50.0
수요일은다먹는날,2.5,6.3,11.1,Support,344,54.4,Mid,4.0,25.0,AD Carry,3.0,66.7
ego lol player,6.4,4.9,6.9,AD Carry,201,57.7,Mid,13.0,23.1,Support,3.0,33.3
C9 Veigar V2,5.8,5.1,8.3,Mid,129,57.4,AD Carry,54.0,59.3,Top,5.0,40.0
SKY,7.0,5.5,7.2,AD Carry,295,53.2,Mid,28.0,75.0,Support,6.0,50.0
ALK Kross,6.9,7.0,7.0,AD Carry,217,52.1,Mid,12.0,66.7,Support,6.0,50.0
Rai 1v9,9.9,4.8,5.9,Jungler,116,62.1,Top,10.0,80.0,Mid,7.0,57.1
barth3,6.7,5.1,7.9,AD Carry,149,57.0,Mid,8.0,50.0,Support,1.0,100.0
kStars Sting,6.9,4.8,7.4,Jungler,136,57.4,AD Carry,24.0,45.8,Mid,15.0,40.0
Furkan Kökten,8.1,5.3,6.6,Top,153,57.5,Mid,72.0,62.5,AD Carry,58.0,67.2
Deus da Pamonha,6.7,4.5,5.0,Mid,357,53.8,Top,68.0,52.9,Support,15.0,40.0
Vizícsacsi,5.3,5.0,5.5,Top,122,58.2,Jungler,1.0,100.0,Mid,1.0,0.0
MadDog OfShimano,5.1,5.4,8.9,Top,91,57.1,AD Carry,24.0,58.3,Jungler,21.0,42.9
xink gai,6.6,5.4,6.7,AD Carry,174,58.0,Mid,67.0,49.3,Support,35.0,62.9
GuizorPET,6.8,7.3,5.7,Top,251,53.8,Mid,57.0,42.1,Support,30.0,43.3
IllllIIlliIIl,7.1,6.3,5.2,Top,67,65.7,Jungler,14.0,57.1,Mid,5.0,20.0
Luquhorijy,8.7,5.4,7.5,Jungler,95,57.9,Mid,9.0,33.3,Support,2.0,50.0
MY TIGEERRR,7.0,5.0,7.1,AD Carry,211,55.9,Mid,5.0,60.0,Top,2.0,50.0
TOPKING,8.6,4.5,6.2,Top,119,69.7,Mid,16.0,62.5,AD Carry,12.0,91.7
R7 Ce0,7.3,5.1,6.2,AD Carry,273,54.9,Mid,11.0,27.3,Top,1.0,0.0
snøwƒall,8.0,6.0,7.8,Jungler,312,53.8,Mid,36.0,44.4,Top,27.0,37.0
MP1225,6.0,5.6,9.6,AD Carry,136,53.7,Support,79.0,58.2,Mid,6.0,50.0
AutoDlykus,4.8,4.9,4.7,Top,374,56.1,Mid,18.0,55.6,Support,4.0,0.0
siornn,6.0,5.2,6.7,Top,160,61.3,Mid,10.0,60.0,AD Carry,6.0,66.7
BOBtimer,4.2,4.6,7.7,Top,168,53.0,Jungler,58.0,60.3,AD Carry,5.0,40.0
twitch SAMMU,2.8,4.3,10.5,Top,185,62.7,Support,58.0,36.2,Mid,19.0,26.3
Marcht,6.2,5.9,7.9,Jungler,187,54.0,AD Carry,38.0,65.8,Support,1.0,100.0
thanh tran789,6.3,5.6,6.9,Mid,105,57.1,AD Carry,41.0,48.8,Top,25.0,36.0
hwb7,6.9,4.7,7.6,Jungler,144,57.6,Top,11.0,45.5,Mid,11.0,72.7
Julianinha,6.6,4.8,6.5,Mid,278,53.2,Jungler,71.0,52.1,AD Carry,44.0,50.0
loveIyx,8.1,5.5,7.0,Jungler,202,56.4,Top,5.0,60.0,Mid,3.0,33.3
Xiao Mel,6.7,5.1,7.3,AD Carry,108,61.1,Mid,15.0,60.0,Support,2.0,0.0
INSTINCT24,6.1,4.9,8.0,AD Carry,128,57.8,Support,6.0,50.0,Mid,5.0,40.0
DBH,7.3,5.0,6.7,Jungler,156,57.7,Mid,137.0,51.8,Top,11.0,63.6
iu HTrang nhất,3.9,5.3,10.6,Support,106,51.9,AD Carry,22.0,50.0,Jungler,10.0,70.0
Banderas,5.2,4.9,5.0,Top,255,51.8,Jungler,12.0,66.7,Mid,8.0,50.0
Savz,8.5,6.4,5.4,Mid,230,57.8,Jungler,38.0,28.9,Top,24.0,50.0
stand behind,6.8,4.0,6.7,AD Carry,45,68.9,Mid,8.0,100.0,Support,3.0,66.7
YOUSEEBIGGIRL123,5.9,6.0,5.8,Top,161,57.1,Mid,14.0,42.9,AD Carry,7.0,57.1
GoldFish999,5.7,4.9,8.8,Jungler,434,53.7,Support,61.0,32.8,Top,59.0,52.5
eIramir,5.6,5.5,9.5,Jungler,149,56.4,Mid,12.0,41.7,Top,10.0,40.0
Anevoa,7.3,6.9,7.6,Mid,92,59.8,AD Carry,51.0,49.0,Top,7.0,85.7
Rink,7.1,5.1,6.8,AD Carry,192,58.3,Mid,135.0,59.3,Top,23.0,60.9
Fiorajj focado,5.6,6.2,4.1,Top,451,53.0,Mid,7.0,14.3,Jungler,6.0,0.0
fantomisto,6.0,4.1,6.6,Mid,428,53.0,AD Carry,47.0,48.9,Top,8.0,50.0
Marilamilk,3.0,5.1,13.1,Support,203,54.2,Mid,30.0,46.7,Jungler,24.0,50.0
T1 Silky,5.2,4.4,8.9,Jungler,254,52.0,Support,102.0,56.9,Mid,23.0,52.2
WâfféN,5.7,5.4,9.8,Jungler,131,53.4,Support,63.0,49.2,Mid,3.0,33.3
Midorima,5.7,4.8,6.9,AD Carry,365,51.5,Support,68.0,52.9,Top,15.0,53.3
willing555,5.6,5.2,6.7,Top,325,53.8,Mid,21.0,47.6,Jungler,16.0,62.5
Hoketo,2.9,5.9,12.5,Support,237,57.4,AD Carry,15.0,40.0,Jungler,5.0,80.0
MYTHICAL GLORY,6.8,5.8,6.2,Top,92,60.9,Mid,30.0,53.3,Jungler,22.0,63.6
Pandab3ar,3.9,4.6,9.1,Mid,294,52.7,Support,70.0,48.6,Top,12.0,58.3
esmeralda type,2.6,4.5,13.7,Support,369,52.6,Mid,11.0,63.6,AD Carry,9.0,44.4
INDD,4.9,4.8,7.0,Mid,287,53.0,AD Carry,29.0,58.6,Support,7.0,28.6
444 Kreakse,7.4,6.4,7.0,AD Carry,108,61.1,Mid,51.0,64.7,Jungler,20.0,60.0
skygge kriger,5.6,3.9,4.3,Top,214,53.7,Mid,21.0,66.7,Jungler,2.0,0.0
btw x6,5.6,5.8,11.9,Support,55,60.0,AD Carry,24.0,70.8,Mid,3.0,66.7
L9 frantisekhrom,2.2,5.4,14.0,Support,243,53.5,AD Carry,26.0,69.2,Jungler,3.0,66.7
MATAPANCHOS99,8.6,6.3,7.2,AD Carry,101,61.4,Mid,85.0,63.5,Top,73.0,60.3
junghong1483369,5.0,4.4,8.9,Jungler,396,54.3,Support,52.0,51.9,Top,15.0,26.7
UnFear,8.9,6.6,6.0,Jungler,305,53.1,Top,25.0,52.0,Support,19.0,52.6
Yassuo,6.0,6.8,6.6,Mid,220,50.9,AD Carry,46.0,54.3,Top,13.0,61.5
Debounair,5.9,3.9,7.6,Mid,269,55.4,AD Carry,47.0,40.4,Jungler,7.0,42.9
Scyrnn,6.1,5.0,5.9,Mid,166,48.8,Jungler,89.0,60.7,AD Carry,58.0,50.0
zZHuyềnThọaiZz,6.8,5.2,9.1,Jungler,277,54.9,Support,21.0,52.4,Mid,16.0,50.0
SLRSLRSLR,5.2,3.2,6.6,Mid,246,54.5,AD Carry,51.0,49.0,Top,2.0,100.0
Zac ou Dodge,4.6,4.1,7.1,Top,265,50.9,Mid,226.0,54.9,Jungler,22.0,36.4
DSKMTMCHHH,6.0,5.2,8.1,Jungler,289,53.6,Mid,50.0,54.0,Support,27.0,44.4
KnurbleWobblebob,2.9,5.2,13.4,Support,313,53.4,Mid,13.0,46.2,AD Carry,4.0,50.0
Kikis,5.8,5.2,8.2,Jungler,229,51.5,Top,32.0,65.6,Mid,14.0,21.4
FTU Ares,6.8,4.8,7.8,AD Carry,228,50.4,Jungler,84.0,64.3,Support,4.0,25.0
Jötave,7.9,4.2,7.0,Jungler,238,54.6,Top,2.0,0.0,Support,1.0,0.0
pet,4.0,4.5,11.3,Support,151,52.3,Mid,100.0,53.0,AD Carry,43.0,55.8
ClickJJ,3.5,6.2,12.1,Support,236,54.2,AD Carry,21.0,52.4,Jungler,2.0,0.0
Denathor,5.5,4.3,5.2,Top,219,54.8,Jungler,4.0,25.0,Mid,3.0,33.3
Iuuuu Inaa,6.3,5.2,9.5,Jungler,230,65.2,AD Carry,64.0,56.3,Support,34.0,58.8
odeio carantes,1.8,4.2,14.5,Support,237,54.0,Top,16.0,37.5,Mid,2.0,50.0
detrevni,4.9,4.7,7.3,Mid,155,53.5,Top,26.0,53.8,AD Carry,24.0,41.7
emot1on,5.6,5.6,4.7,Top,185,55.1,Mid,6.0,66.7,Support,4.0,50.0
chikaa,7.1,5.2,6.1,Mid,165,59.4,Top,29.0,65.5,Jungler,17.0,64.7
superjackpot,6.4,5.2,6.2,Mid,135,57.8,Top,42.0,52.4,Jungler,26.0,50.0
bluerzor,6.2,4.5,8.4,Jungler,255,55.7,Mid,12.0,25.0,Top,6.0,33.3
Myrtle,8.2,4.7,7.4,Jungler,162,63.6,Mid,41.0,56.1,Top,34.0,44.1
its JąY Løve Kąt,5.8,4.4,10.5,Jungler,779,51.7,Mid,25.0,36.0,Top,4.0,50.0
i am chiken,7.1,3.0,4.3,Mid,95,63.2,Top,57.0,57.9,AD Carry,1.0,100.0
Blackest Man,8.5,6.8,6.2,Jungler,224,55.8,Top,43.0,55.8,Mid,9.0,33.3
kh1234,7.3,5.1,5.7,Top,200,57.0,Mid,28.0,57.1,AD Carry,28.0,42.9
Eyes Of Failure,6.2,5.1,6.1,Mid,118,60.2,Top,80.0,43.8,Jungler,3.0,33.3
O My Money,2.1,4.6,11.2,Support,147,55.8,AD Carry,14.0,57.1,Mid,2.0,100.0
Pinguím,2.9,4.9,13.2,Support,575,54.1,Mid,30.0,33.3,Top,16.0,37.5
TwtvCrazyadri1v9,7.8,6.4,6.3,AD Carry,420,51.9,Mid,123.0,51.2,Support,20.0,45.0
DRX B2ryL,3.4,5.6,11.5,Support,138,59.4,Top,10.0,60.0,AD Carry,1.0,0.0
Hiuu2 x Tmar,6.4,4.9,6.9,Top,106,61.3,Support,42.0,52.4,Jungler,30.0,36.7
SWE131,7.7,5.6,5.4,Mid,123,56.9,AD Carry,6.0,50.0,Top,1.0,0.0
Little Pawn,3.1,5.3,10.9,Support,421,51.1,Jungler,127.0,45.7,Top,10.0,70.0
TMAX VROUM VROUM,5.4,4.3,7.9,Jungler,460,53.3,Top,27.0,48.1,Mid,16.0,31.3
Gutizin do corta,7.5,6.5,7.5,Jungler,200,54.0,Top,16.0,56.3,Mid,16.0,56.3
em gái khó tính,7.2,5.8,8.1,Jungler,116,62.9,AD Carry,58.0,62.1,Mid,57.0,49.1
RISE nZ,5.8,4.0,7.0,Mid,157,54.8,AD Carry,22.0,68.2,Top,4.0,50.0
badgirls,6.7,5.0,6.9,Mid,167,55.1,AD Carry,33.0,51.5,Top,3.0,0.0
Sally Whitemane,2.4,4.5,16.3,Support,105,60.0,Mid,17.0,64.7,AD Carry,4.0,25.0
4th June,2.5,4.5,12.4,Support,297,55.2,Mid,24.0,37.5,Top,9.0,22.2
Dehşıko Adam,10.0,6.1,8.1,Jungler,79,62.0,AD Carry,6.0,83.3,Support,6.0,66.7
Run Higher,5.9,3.8,8.4,Jungler,222,56.8,Mid,12.0,58.3,Top,5.0,20.0
An Nuo l,6.3,4.0,7.7,Jungler,199,53.3,Mid,9.0,66.7,AD Carry,4.0,25.0
IW Elramir,4.9,5.7,8.9,Jungler,299,50.2,Top,33.0,51.5,Mid,33.0,63.6
NUMBER1BUSDRIVER,9.3,3.5,6.5,Mid,75,57.3,Top,19.0,68.4,AD Carry,16.0,87.5
14675242,2.0,4.8,13.6,Support,178,57.9,AD Carry,2.0,0.0,Mid,1.0,0.0
HAALLOWEEN,4.4,4.0,6.1,Top,148,58.8,Jungler,10.0,30.0,Support,2.0,50.0
lDemexl,7.5,4.7,6.5,Jungler,366,53.6,Mid,16.0,25.0,Top,10.0,40.0
69Chaz420,3.7,6.0,12.1,Support,287,54.4,AD Carry,38.0,55.3,Jungler,28.0,32.1
my kled mid acc,6.3,4.6,5.9,Mid,78,65.4,Top,66.0,50.0,AD Carry,1.0,0.0
Sexelent,7.0,5.0,7.2,AD Carry,341,53.4,Support,16.0,37.5,Mid,15.0,40.0
AkabaneKINGGGG,6.6,5.3,8.5,Jungler,514,51.2,Top,31.0,51.6,Mid,19.0,73.7
Nemiens,4.3,4.3,4.5,Top,339,53.4,Mid,7.0,85.7,AD Carry,1.0,0.0
Sudion VV,5.2,4.3,6.5,Mid,116,57.8,Top,10.0,60.0,AD Carry,9.0,66.7
jaegeol,6.7,5.1,7.2,Mid,213,58.2,Top,49.0,65.3,Jungler,41.0,48.8
Kim0n,7.8,4.8,4.9,Mid,144,56.9,Top,81.0,58.0,Jungler,2.0,50.0
ping me to lose,5.3,6.3,7.4,Mid,225,50.2,Support,44.0,61.4,Top,27.0,44.4
vicco1,6.8,6.3,5.8,Mid,220,54.1,Jungler,32.0,59.4,Top,25.0,40.0
morale support,2.8,5.4,12.8,Support,202,57.9,Top,24.0,50.0,Jungler,20.0,65.0
Deeathh,5.6,4.2,5.2,Mid,174,55.7,Top,22.0,59.1,Support,12.0,41.7
근히키,6.0,4.4,6.9,AD Carry,229,54.1,Support,29.0,51.7,Top,3.0,0.0
carros tunados,5.9,5.6,7.6,AD Carry,149,57.0,Jungler,50.0,62.0,Support,20.0,50.0
unfaz3d,7.2,5.1,7.0,AD Carry,89,61.8,Mid,10.0,50.0,Support,3.0,66.7
CG V1perZ,8.2,5.6,7.5,Jungler,139,58.3,Top,49.0,67.3,AD Carry,22.0,50.0
Xarioo,6.0,5.3,8.3,Jungler,166,57.2,Top,8.0,62.5,Mid,7.0,42.9
Im so L0nely,7.4,4.7,7.0,Top,71,62.0,Jungler,29.0,55.2,AD Carry,13.0,76.9
Yoda Sansky,4.9,5.3,7.1,Top,124,58.1,Jungler,35.0,42.9,AD Carry,3.0,100.0
Toih,8.6,5.6,5.6,Mid,234,53.4,Jungler,42.0,47.6,Top,4.0,50.0
Ánh Sáng of Đảng,7.5,4.1,9.8,Jungler,115,62.6,Support,71.0,63.4,Mid,10.0,30.0
eYa Cedeiix,7.2,5.5,8.7,Jungler,137,59.9,Top,4.0,25.0,AD Carry,1.0,100.0
Wx calvinlu1997,7.4,4.5,6.3,Mid,76,65.8,Top,15.0,66.7,AD Carry,9.0,33.3
Veignorem,2.6,5.0,12.5,Support,244,52.9,AD Carry,27.0,51.9,Top,2.0,50.0
cứu Diễm My đi,7.1,6.5,6.1,Mid,50,62.0,Top,46.0,56.5,AD Carry,37.0,51.4
Plander,6.2,3.8,6.7,AD Carry,277,55.6,Mid,14.0,28.6,Support,7.0,28.6
DeepWhite,6.9,5.2,9.1,Jungler,126,62.7,AD Carry,12.0,50.0,Mid,3.0,66.7
kevin crey,6.8,5.1,5.6,Top,71,60.6,AD Carry,7.0,71.4,Mid,6.0,16.7
ANTETOKOUNMPO 34,5.6,5.3,5.7,Top,289,52.6,Mid,5.0,80.0,Support,2.0,100.0
LFT SHIHAN5,5.7,4.8,4.2,Top,331,52.3,Mid,6.0,33.3,Support,1.0,0.0
IZG Comet,6.5,6.5,7.6,AD Carry,251,53.0,Mid,22.0,63.6,Support,19.0,42.1
D İ C L O,3.2,5.8,12.2,Support,107,57.0,Top,23.0,52.2,Mid,9.0,33.3
Messi ad acc,7.4,4.8,6.6,AD Carry,180,53.3,Mid,12.0,66.7,Top,4.0,75.0
TraYtoN,2.0,4.4,13.7,Support,266,52.3,Mid,7.0,57.1,Top,1.0,0.0
Thumper,5.4,3.1,6.9,Mid,254,55.1,AD Carry,34.0,55.9,Support,20.0,35.0
Game Cuối Nghỉ,5.1,4.6,9.9,Top,102,58.8,Support,22.0,63.6,Jungler,11.0,27.3
Kitanø,4.4,4.0,5.1,Top,282,53.2,Jungler,3.0,33.3,Mid,3.0,33.3
nights like this,8.0,6.0,4.6,Top,79,63.3,Mid,16.0,56.3,Jungler,2.0,100.0
sword kid1,7.8,4.6,8.5,Top,150,66.0,Jungler,24.0,45.8,Mid,8.0,62.5
Plan Chrysalide,6.5,7.3,5.2,Top,375,54.9,Jungler,13.0,38.5,Mid,12.0,50.0
Cego,4.7,3.8,6.0,Top,243,50.6,Support,7.0,57.1,Mid,5.0,40.0
crawling soul,4.9,6.6,11.6,Support,312,53.5,Jungler,151.0,51.0,Top,2.0,50.0
FNTSY Pandá,4.0,6.2,11.5,Support,297,55.2,AD Carry,52.0,46.2,Mid,38.0,50.0
Baleada,3.4,5.6,11.8,Support,191,55.0,Mid,14.0,50.0,AD Carry,2.0,50.0
dajor25,6.5,5.8,5.7,Mid,170,58.8,Top,29.0,62.1,AD Carry,17.0,23.5
YIOK SEM ALISTAR,7.1,5.1,6.2,Mid,268,58.2,Top,42.0,52.4,AD Carry,6.0,16.7
11 13 17 19,7.6,6.4,7.4,AD Carry,294,57.1,Mid,34.0,50.0,Jungler,31.0,48.4
Soonchang,7.5,4.8,7.0,AD Carry,214,50.9,Mid,5.0,40.0,Jungler,1.0,0.0
0503x,6.9,4.8,6.1,Top,94,53.2,AD Carry,30.0,60.0,Jungler,6.0,66.7
왕 자,6.4,5.4,5.7,Mid,252,55.2,Jungler,23.0,43.5,AD Carry,21.0,66.7
