nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Jinno Kingdom,Satoru Gojo03,T1 Gumayusi,HAHAHAHHAHA,Kobbe,Beanovich
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0007298771967846,0.0004240003572184,0.0005677659440463,0.0005100015359576,0.0005336127887984,0.0005218449242865
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0007201818610509,0.0004241288142296,0.0005658690301616,0.0005085931887639,0.000532977411176,0.0005180711583127
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.00065260509181,0.0005144008217712,0.0016735910040321,0.00304724427027,0.0008537425812347,0.0011698532677315
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0006456474159245,0.0005146302762748,0.001626752431132,0.0027835205836045,0.0008511468198005,0.0011290804186359
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0008031926756156,0.0004383684747125,0.0025694074254965,0.0012185877093252,0.0006269455791439,0.0018254183947926
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0007903252981303,0.0004385104448299,0.0024087952523054,0.0011997295921447,0.0006259156951759,0.0016810527998906
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0009626223118986,0.000378315912914,0.0005875360577631,0.0004762081067522,0.0004620607468045,0.0005553915547017
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0009406961712528,0.0003784071482065,0.000585434711285,0.0004750610063738,0.0004616480667268,0.0005508485883435
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0007298771967846,0.0004240003572184,0.0005677659440463,0.0005100015359576,0.0005336127887984,0.0005218449242865
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498,0.0007201818610509,0.0004241288142296,0.0005658690301616,0.0005085931887639,0.000532977411176,0.0005180711583127
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.00065260509181,0.0005144008217712,0.0016735910040321,0.00304724427027,0.0008537425812347,0.0011698532677315
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0006456474159245,0.0005146302762748,0.001626752431132,0.0027835205836045,0.0008511468198005,0.0011290804186359
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0008031926756156,0.0004383684747125,0.0025694074254965,0.0012185877093252,0.0006269455791439,0.0018254183947926
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0007903252981303,0.0004385104448299,0.0024087952523054,0.0011997295921447,0.0006259156951759,0.0016810527998906
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0009626223118986,0.000378315912914,0.0005875360577631,0.0004762081067522,0.0004620607468045,0.0005553915547017
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0009406961712528,0.0003784071482065,0.000585434711285,0.0004750610063738,0.0004616480667268,0.0005508485883435
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0007298771967846,0.0004240003572184,0.0005677659440463,0.0005100015359576,0.0005336127887984,0.0005218449242865
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498,0.0007201818610509,0.0004241288142296,0.0005658690301616,0.0005085931887639,0.000532977411176,0.0005180711583127
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0079114370368498,0.00065260509181,0.0005144008217712,0.0016735910040321,0.00304724427027,0.0008537425812347,0.0011698532677315
