nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor
VELJA THE MENACE,EUW,Challenger,1216,129,56.7,7.0,4.7,6.0,0.0077182355059727,0.0003464429219951,0.0013279563712891,0.0001434616741294,0.0023268257424458,0.0019163254275404,0.0009832879708553,0.0003370934029121,0.0003368419948051
Matty,EUW,Challenger,1122,226,57.7,4.1,3.8,9.4,0.0077083558654089,0.000348767175864,0.0010594068846277,0.0001408452463554,0.0015348631733398,0.00274025624807,0.0012284682888084,0.0003168010659903,0.000338947782353
zuao og,BR,Challenger,1033,360,59.5,6.2,4.9,10.3,0.0076714417299417,0.0003929993947958,0.0027762607447931,0.0001428443375728,0.0013371364785123,0.0013088410027416,0.0009255778235205,0.0004048170604643,0.0003829648875409
sarolu,BR,Challenger,1025,369,51.9,5.9,4.8,7.8,0.0076643425967336,0.0003691143825158,0.0011163312266289,0.000143682829007,0.0012458349732153,0.0022856088456494,0.0018291929340401,0.000317012913316,0.0003575644923608
TH Krillin,EUW,Challenger,1225,121,56.0,7.4,4.8,8.8,0.0076628470849966,0.0003561094563475,0.0014958825748014,0.0001485515867484,0.0025152908963725,0.0015470775044564,0.0008880856841142,0.0003691888493862,0.0003426605327697
JhompysJr,LAN,Challenger,1005,428,53.0,6.6,5.0,8.4,0.0076087298338105,0.0003783970146369,0.0011900102974179,0.0001424236470438,0.0012244114870498,0.0021929478942721,0.0017869494918026,0.0003266008101782,0.0003669891914088
再见,EUW,Challenger,1011,409,55.5,7.1,4.6,7.4,0.0076023821840207,0.0003653846306177,0.0009391599590814,0.0001420700336281,0.0010302310567369,0.0020104590852963,0.0024561782310096,0.0003046851765901,0.0003542140110601
TETIS XDDDDD,BR,Challenger,1041,347,55.2,7.2,4.2,8.3,0.0075645514812922,0.0003602344384756,0.0009985955727712,0.0001417570677882,0.0012183612575701,0.0024592566677475,0.0017279092943284,0.0003090087141161,0.0003494284684948
exselor,LAS,Challenger,1104,252,55.1,6.3,4.7,7.7,0.0075621873257356,0.0003507513420151,0.0010554222460886,0.0001411043097172,0.0014917160692926,0.0025869457290135,0.0012805510098279,0.0003149339430221,0.0003407626767583
陪daiVX Ekko4567,JP,Challenger,1127,220,56.4,7.5,4.6,6.6,0.0075548410924232,0.0003456099364243,0.0010258639226381,0.0001403632312533,0.0014735527685571,0.0026791556946025,0.0012414759060806,0.0003126167904603,0.0003362028424067
Paresz14,EUNE,Challenger,1053,322,58.3,7.0,4.4,8.8,0.0075373689157989,0.0003805529409974,0.0020034659890206,0.0001415617073979,0.0014725262934733,0.0017254418828386,0.0010670813620786,0.0003762669092549,0.0003704718307374
BABO JUNGLE1,EUW,Challenger,1148,186,55.4,5.9,4.5,8.0,0.0075371010446658,0.0003401441378208,0.0009603080183184,0.0001399982330858,0.0014364638358239,0.002802413775677,0.0012192987393851,0.0003077921225097,0.0003306821820447
loveIyx,EUW,GrandMaster,854,2684,56.9,8.1,5.5,7.0,0.0074023291291027,0.0024488275417032,0.000428942501648,0.0001610309092267,0.0003493673208084,0.0003556539067489,0.0004308955898285,0.0003285751004661,0.0028990362586726
LOS CrjaY,BR,Challenger,1058,316,52.9,7.3,5.1,7.8,0.0073940682475426,0.0003526072706558,0.0009169495540158,0.0001415920164226,0.0011157614969413,0.0023642446718658,0.0018599178032373,0.0003011766057572,0.0003418188286465
