nombre_invocador,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor,total
RED Curse,0.0003369497315683309,0.0011665964204201572,0.00014130305439486157,0.0024315637606694817,0.0023746421025875163,0.000991457968803713,0.00032658218849731147,0.0003280125305149414,0.008097107757456314
ssywfnkhl,0.00034821013190800416,0.001559286734251673,0.0001427748005249739,0.0024016368846989642,0.0019080134706514972,0.0009369380502480598,0.0003546353968358736,0.0003386567090390202,0.007990152178158065
100T C1oser,0.0003386010258268093,0.0010398526592841199,0.00014399329506042507,0.0024459463518301692,0.0023413935298300615,0.0009817385960335214,0.00032261332623816324,0.00032735762243981764,0.007941496406543087
Villager C,0.00034197603273675257,0.0009719569164934977,0.00014136094018563227,0.0013051943984190998,0.003013236261147519,0.0015066570684419316,0.00030634507250129476,0.00033175695732244885,0.007918483647248176
lalalalalalaaala,0.0003824644033785513,0.003220671739010857,0.0001448414950167237,0.0013804818983993833,0.0011254087365043918,0.0008160580441438411,0.0004113218225679272,0.00037313241089890396,0.007854380549920579
Wx Mjm978244659,0.0003323091312892408,0.0009280454112029027,0.00013944443983985707,0.0013414408626676985,0.003144678888454952,0.0012894872375623335,0.0003061842632356031,0.0003227398915736571,0.007804330125826245
DuplaNazareno,0.0003233174544688031,0.0008748176467505902,0.00013927444761406422,0.001568820236134061,0.0031669301882988766,0.001089665400405325,0.00029990690273533886,0.0003140657932612033,0.007776798069668263
Perfect Blue,0.0003637758358868082,0.0010307873126425369,0.00014157722497078318,0.0011410070946400416,0.0024299508288991687,0.002000382835351059,0.00031372298137202927,0.00035275222291355487,0.007773956336675982
Zwei und die,0.0003662333382535943,0.002349225059394612,0.00014424465502111043,0.001681834080013091,0.0015495347075204819,0.0009404082113096584,0.00038540390721706594,0.00035536893611535125,0.007772252894844966
LBR Drakehero,0.0003283541612558463,0.0009851026085224658,0.0001401740046617641,0.0015795328526003588,0.00297316932000014,0.0011145366005482083,0.0003120753883506397,0.00031903915562581537,0.007751984091565238
B0NN1E,0.0003483639419242218,0.0009420101164154247,0.00014078053764323255,0.0012068594326174742,0.0028575016172044105,0.001604431501510002,0.00030395540235930615,0.00033795399272423257,0.007741856542398304
VELJA THE MENACE,0.0003464429219951685,0.0013279563712891892,0.00014346167412948623,0.0023268257424458156,0.001916325427540446,0.0009832879708553304,0.000337093402912167,0.00033684199480517974,0.007718235505972782
Matty,0.00034876717586408555,0.0010594068846277306,0.00014084524635542628,0.0015348631733398226,0.002740256248070049,0.0012284682888084712,0.00031680106599032856,0.0003389477823530661,0.00770835586540898
zuao og,0.0003929993947958503,0.0027762607447931967,0.00014284433757286575,0.0013371364785123591,0.0013088410027416767,0.0009255778235205479,0.0004048170604643261,0.00038296488754095134,0.007671441729941775
sarolu,0.00036911438251587746,0.001116331226628914,0.00014368282900703398,0.0012458349732153043,0.0022856088456494968,0.001829192934040148,0.00031701291331602847,0.00035756449236085016,0.007664342596733653
TH Krillin,0.00035610945634757606,0.0014958825748014612,0.00014855158674842735,0.002515290896372553,0.0015470775044564337,0.0008880856841142408,0.00036918884938623236,0.00034266053276970075,0.007662847084996626
JhompysJr,0.00037839701463693033,0.0011900102974179464,0.0001424236470438991,0.0012244114870498537,0.002192947894272154,0.0017869494918026252,0.00032660081017827226,0.00036698919140888014,0.007608729833810561
再见,0.00036538463061779806,0.0009391599590814992,0.00014207003362813207,0.0010302310567369835,0.0020104590852963,0.0024561782310096427,0.0003046851765901967,0.0003542140110601745,0.007602382184020726
TETIS XDDDDD,0.00036023443847562025,0.0009985955727712691,0.00014175706778821526,0.0012183612575701762,0.0024592566677475074,0.0017279092943284875,0.0003090087141161229,0.000349428468494813,0.007564551481292212
exselor,0.0003507513420151802,0.0010554222460886953,0.00014110430971723279,0.0014917160692926026,0.002586945729013513,0.0012805510098279132,0.00031493394302215845,0.00034076267675836136,0.007562187325735657
