nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
모두 행복해요,KR,Challenger,924,652,55.2,6.1,4.2,8.3,0.0059904201503241
HLE Grizzly,KR,Challenger,801,1105,53.8,6.7,4.3,7.3,0.0059859673882628
giveupp,BR,Challenger,935,611,50.7,6.4,5.1,6.0,0.0059847717757634
redcrab84,EUW,Challenger,850,934,54.8,6.6,4.6,7.9,0.0059385829178306
Zelzeleniş,TR,Challenger,904,745,63.5,7.9,5.4,6.8,0.0059162838472815
BRO DDoiV,KR,Challenger,798,1120,52.2,4.8,5.1,8.3,0.0058932235357666
Mimage,EUW,Challenger,842,964,54.3,5.6,4.4,9.5,0.0058822822637318
陪袋V xinshenjug,JP,Challenger,972,517,61.0,7.1,5.1,7.9,0.0058687532578299
Menchennik,EUW,Challenger,846,949,54.5,5.4,5.1,10.7,0.0057546890833799
Ed Rebirth,LAN,Challenger,822,1027,53.6,4.2,3.9,12.0,0.005744519294312
Billy Butcher XD,BR,Challenger,1507,18,60.3,6.9,4.2,8.5,0.005738759450749
Billy Butcher XD,BR,Challenger,1507,18,60.3,8.0,5.9,7.8,0.005738759450749
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,6.9,4.2,8.5,0.005738759450749
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,8.0,5.9,7.8,0.005738759450749
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,6.9,4.2,8.5,0.0057291025704211
Billy Butcher XD,BR,Challenger,1507,18,60.3,8.0,5.9,7.8,0.0057291025704211
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,8.0,5.9,7.8,0.0057291025704211
Billy Butcher XD,BR,Challenger,1507,18,60.3,6.9,4.2,8.5,0.0057291025704211
Bow,LAN,Challenger,858,906,61.5,6.9,5.7,8.8,0.0057189328479473
WAP 5,BR,Challenger,1090,268,56.1,7.0,4.7,8.2,0.005700623398171
Multirole Talent,EUW,Challenger,1213,131,58.0,7.1,4.3,6.9,0.0056232847237303
EmbraceYourPain,TR,Challenger,851,932,59.6,9.9,4.9,7.4,0.0056151219363586
6K OnFleek,EUW,Challenger,1859,1,57.7,6.3,4.7,7.3,0.0056000477782679
WillNA1,EUW,Challenger,782,1176,51.1,6.6,3.6,7.6,0.0055842664842738
Sylvie,KR,Challenger,833,1004,55.6,6.3,4.0,7.1,0.005551468996104
UDYSOF,OCE,Challenger,845,953,55.5,5.7,4.3,10.1,0.0055204208771529
Оutsidеr,RU,Challenger,853,927,56.9,4.2,5.7,10.3,0.0054933286212567
Dani Marshall,LAN,Challenger,781,1180,51.7,6.5,5.6,5.7,0.0054416690757855
naiyoubaby,KR,Challenger,955,556,57.8,8.5,5.1,7.5,0.0053822217883139
KingClueless,EUW,GrandMaster,722,3067,53.3,6.4,4.8,8.8,0.0053458952189249
Chicag0Freestyle,BR,GrandMaster,785,2840,55.5,5.3,4.2,9.0,0.0053131528017406
twtchtv detdert,EUW,Challenger,821,1035,55.8,6.9,5.2,8.9,0.0053008891582459
Thaybot,EUW,Challenger,799,1109,52.9,5.5,4.3,8.2,0.0052860553939731
The 글로리,KR,Challenger,808,1086,65.3,6.0,3.4,9.6,0.0052654844340448
MorninStar,RU,Challenger,805,1091,56.4,5.1,4.8,9.8,0.0052294837539388
Ai Hayasaka,PH,Challenger,779,1188,55.6,6.1,5.3,10.2,0.0052127882011869
TaiYangShen,EUW,Challenger,765,1237,54.5,7.6,4.8,7.1,0.0051971822829597
Ozilardann,EUW,Challenger,900,763,64.9,7.7,4.8,8.6,0.0051965158471399
JUGKING,OCE,Challenger,783,1173,56.9,8.0,4.9,6.9,0.0051882601147949
我女友還沒16歲,TW,Challenger,1064,300,59.8,6.7,4.0,7.0,0.0051870487898507
lalms,LAS,Challenger,1181,156,53.4,6.1,5.1,8.4,0.0051731076511928
Josedeodo,EUW,Challenger,1104,253,57.2,7.5,3.5,7.6,0.0051729503205515
Gilius2,EUW,Challenger,865,886,54.5,5.7,4.2,7.7,0.0051707503660829
YNW MELLYY,EUW,Challenger,820,1039,58.1,6.0,5.0,7.9,0.0051535746210032
NattyNatt,EUW,Challenger,1044,338,52.7,7.4,5.3,4.8,0.0051518957551395
Trixter2,EUW,Challenger,809,1080,53.1,7.0,5.0,8.2,0.0051420339551689
eightQAQ,KR,Challenger,925,645,59.3,7.2,5.0,8.2,0.0051384384190452
