,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Kongenvenderhjem,칸 나,BiIIy Butcher1,C9 Fudge,FΙGHT
121,WAO RANK 1,EUW,Challenger,1016,389,53.2,5.7,5.3,6.0,0.0017777265584765,9.445591856508988e-05,0.0002388609875645,0.0002842492538319,0.0002094316487904,0.0009507287497245
122,GSDFQWASD,EUW,GrandMaster,601,3942,54.4,5.2,4.5,4.7,0.001777613411803,9.6614967341307e-05,0.0007681906363616,0.0002053521544337,0.0004560583939857,0.0002513972596805
123,Melvox,LAN,Challenger,923,660,60.6,7.2,3.8,5.6,0.001774645972568,9.460282285627152e-05,0.0002554689963234,0.0002854383513052,0.0002215708775083,0.0009175649245747
124,ROBOCA DE SACOLA,BR,Challenger,915,694,54.5,6.9,6.0,5.8,0.001773411425981,9.33895221585642e-05,0.000204951335113,0.0009442240958477,0.0002621645780318,0.0002686818948298
125,DENADENADENA,EUW,Challenger,781,1183,55.8,5.7,5.2,4.6,0.0017725828766404,9.289804577009604e-05,0.0002921295643444,0.0005780117063716,0.0003190855130357,0.0004904580471185
126,윤용호,KR,Challenger,724,1420,59.3,4.5,5.1,5.9,0.0017718513381135,9.780429887614954e-05,0.0003300374979758,0.000490308091323,0.0003599569690096,0.0004937444809287
127,DRXVIICHAN,KR,GrandMaster,619,3730,52.4,5.1,4.8,5.3,0.0017650255160127,8.780037835842699e-05,0.000448942781528,0.0002684864651672,0.0007244583646887,0.0002353375262702
128,Adelean,EUNE,Challenger,924,658,56.4,6.5,5.5,5.1,0.0017613604756198,9.446175780511329e-05,0.0002551642111153,0.0002825491496603,0.0002201864936232,0.0009089988634157
129,내이리 오면,KR,Challenger,731,1386,54.0,4.1,5.2,5.2,0.001760599006445,9.370231674161885e-05,0.000345290641326,0.0003320528857962,0.0002940009791686,0.0006955521834124
130,droqan,TR,Challenger,503,2581,59.0,7.0,5.5,6.0,0.001755798054133,9.243662831662332e-05,0.0005597988093229,0.0002902271317682,0.0004347892917,0.0003785461930251
131,愛麗絲丶,JP,Challenger,871,860,59.3,5.9,4.4,4.8,0.0017476452850499,9.434117391356572e-05,0.0002697587366037,0.0002922755956186,0.0002329097697781,0.0008583600091358
132,킬러톱,KR,Challenger,871,859,54.3,4.5,4.1,5.2,0.0017466751951916,9.442765787088756e-05,0.0002865468015819,0.0002766959916642,0.0002349038652416,0.000854100878833
133,Augustine,EUW,Challenger,825,1018,51.7,4.4,4.0,6.0,0.0017401453892904,9.447958050080808e-05,0.0002837630380855,0.0003013063555776,0.0002451724989079,0.0008154239162184
134,Bruce Wäyne,EUW,GrandMaster,625,3689,52.6,6.2,6.4,5.2,0.0017401077013215,9.056113392760664e-05,0.0006800630624558,0.0002284032630445,0.0004691271710248,0.0002719530708686
135,Livatious,EUW,Challenger,769,1226,59.1,5.2,5.5,5.7,0.0017364314401779,8.916476265980402e-05,0.0002354453672522,0.0008214576661975,0.0003105994275564,0.0002797642165118
136,cadianNN,KR,Challenger,631,1849,58.0,5.7,5.0,4.4,0.0017355304857464,9.529849526315024e-05,0.0004016916592588,0.0003620441192915,0.0003728421580054,0.0005036540539273
137,Diëgo,LAS,Challenger,864,889,52.1,4.2,3.6,6.0,0.0017285205106467,9.431996906673582e-05,0.0002704015332006,0.000289200381689,0.0002323501510056,0.0008422484756846
138,Reversed,BR,GrandMaster,763,2907,54.4,5.2,4.8,6.0,0.0017282317619665,9.152467426505958e-05,0.000676151968902,0.000238254441688,0.0003777760032494,0.0003445246738619
139,RobertBrännström,EUW,GrandMaster,741,2970,54.8,5.8,5.3,4.8,0.0017250781497664,9.130355334915936e-05,0.0005708175201394,0.000270225555239,0.0004676095715864,0.0003251219494523
140,TTV IMainTopLane,EUW,Challenger,753,1304,53.6,3.5,3.6,8.0,0.0017233259090728,9.335987179726188e-05,0.0003107140078332,0.0004464910537947,0.0003134569788351,0.0005593039968124
141,Eddxylol,LAN,GrandMaster,553,4429,51.5,6.0,5.5,7.5,0.0017227405023215,8.710090116202726e-05,0.000623227392552,0.0002133833577836,0.0005766763668288,0.000222352483995
142,jotaemez 11z,BR,Challenger,911,718,51.3,5.3,5.5,4.6,0.0017210692083316,9.451246040216015e-05,0.0002582314750164,0.0002932867279864,0.0002254573466878,0.0008495811982387
143,Estrus,OCE,Challenger,870,866,50.6,6.8,7.4,6.3,0.0017200947940317,9.45237410686652e-05,0.0002695755394635,0.0002850994447532,0.0002309462468944,0.0008399498218517
