nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Dyaa,EUW,Challenger,812,1066,58.6,8.4,5.4,6.6,0.0059747782442074
9277,KR,Challenger,760,1263,52.0,7.1,6.1,6.4,0.0059588383666278
Kaiii,SG,Challenger,1171,168,57.1,9.2,5.0,7.0,0.0059503815957391
Good Boi,EUW,Challenger,896,774,54.6,6.5,5.6,9.4,0.0059355616287218
WNY Wind 队长,SG,Challenger,897,771,52.4,7.2,5.3,6.5,0.0059298518051719
RED Morttheus,BR,Challenger,1403,41,55.8,8.2,4.4,6.8,0.0058627681729112
The parlero,LAN,Challenger,887,806,55.7,8.2,4.9,7.1,0.0058596885458847
da xi gua,EUW,Challenger,785,1167,53.6,7.2,4.8,6.4,0.005754199763118
WPE Azeved02,PH,Challenger,883,817,55.2,4.4,4.3,9.8,0.0057485309474024
twitch faturetoo,BR,Challenger,911,720,52.0,5.6,6.3,7.8,0.0057413356064195
Enzoronovich,PH,Challenger,1035,356,57.4,7.3,5.1,7.1,0.0057396147230285
is me bro,BR,Challenger,1455,27,54.8,9.0,8.3,6.9,0.0057031324608836
AHº,EUW,Challenger,821,1031,51.9,7.0,5.3,7.7,0.0057012432561455
DRI1,OCE,Challenger,830,1011,52.8,5.6,5.5,7.2,0.0056804399281792
Avril,LAS,Challenger,826,1024,55.0,6.8,5.1,7.0,0.0056520628466055
Quakee,SG,Challenger,1413,37,55.6,6.3,5.5,8.1,0.0056287607429041
Alisa Pauder,RU,Challenger,1055,316,55.6,7.0,4.1,6.7,0.0056260858882167
FA Heartbreak,EUW,Challenger,781,1182,52.7,3.9,5.0,8.3,0.0055711094761584
3333m,LAN,Challenger,891,794,57.1,7.5,4.3,6.7,0.0055451244846093
firestórm,LAS,Challenger,878,839,54.4,5.5,6.1,8.1,0.0055337493862925
Iogic,EUW,Challenger,759,1274,53.1,7.2,5.5,6.6,0.0055333175529866
Test ADC 10,EUW,Challenger,777,1192,52.6,5.6,4.6,7.8,0.0055261052042786
ZEN sant,BR,Challenger,1649,8,55.5,6.4,6.4,9.1,0.005467712066278
deafened,OCE,Challenger,839,979,51.5,5.8,5.3,7.9,0.005466076073419
geveze,LAS,Challenger,792,1144,53.6,6.4,4.2,6.3,0.0054254858533787
Bvoy3,BR,Challenger,1334,65,61.8,8.3,5.1,8.5,0.0054237025484859
포기를 포기할게,KR,Challenger,1236,113,58.6,7.1,5.7,7.1,0.0054096471432282
Lauer,LAN,Challenger,762,1254,54.2,6.0,5.2,7.3,0.0054087875056411
proper wasteman,OCE,Challenger,867,878,56.8,7.5,4.8,6.5,0.0053738060105928
wxRio887288,OCE,Challenger,762,1250,50.9,6.8,5.5,5.5,0.0053654070757337
Velcrox,SG,Challenger,807,1086,52.7,6.7,4.1,7.2,0.0053177382979486
And l will,LAN,Challenger,839,979,60.0,8.0,3.7,6.9,0.0052454507000202
big dacko,EUW,Challenger,902,751,53.2,6.2,5.5,8.2,0.0052397457237764
rolË,LAS,Challenger,943,588,59.5,7.6,5.2,8.0,0.005234632737753
Noodlz,EUW,Challenger,772,1205,53.1,6.6,4.7,6.2,0.0051749040738449
iu nt,VN,Challenger,790,1144,66.3,7.8,4.1,6.9,0.0051748283763893
Zeratul,OCE,Challenger,817,1046,53.8,6.9,4.6,7.0,0.0051199721742791
저 높은 곳으로,KR,Challenger,710,1470,51.4,6.2,4.2,6.1,0.0051107644019936
Augensternn,TW,Challenger,766,1229,55.1,6.8,4.4,6.9,0.0050932281828529
Reinerr Braun,LAN,Challenger,779,1189,58.5,6.3,3.7,7.4,0.0050386226030891
星若黯然,TW,Challenger,794,1134,54.8,6.5,5.2,7.3,0.0050386188206485
Cody Pog,KR,Challenger,730,1387,55.3,6.3,3.8,6.5,0.0050076089429281
OŠIRłS,LAN,Challenger,738,1369,53.6,5.7,6.5,10.3,0.005007233010016
enryu,EUW,Challenger,764,1240,55.7,4.4,4.6,8.4,0.0049538703055799
Song Ha Young,TH,Challenger,763,1248,56.0,7.2,4.6,7.0,0.0049296187233543
mei shu chu,KR,Challenger,915,691,56.2,7.2,5.0,7.6,0.004924528330504
YT搜尋Breeze微風,TW,Challenger,808,1086,60.2,8.1,5.2,6.6,0.004885520007168
Jolyne Cujoh,OCE,Challenger,762,1259,51.4,6.3,4.9,7.5,0.004867966237632
RODMAN AD,EUW,Challenger,894,781,55.8,6.8,4.9,6.5,0.0048406315665875
SUPERKAORI,EUW,Challenger,971,519,53.0,7.8,5.6,7.2,0.0047867021344124
Nuggles,LAN,Challenger,740,1362,54.1,8.3,5.1,8.0,0.0047838589897082
Berzerk,LAS,Challenger,787,1162,56.8,6.0,4.4,6.9,0.0047370634742903
ViV NEXT ADKING,EUW,Challenger,1420,36,60.5,7.7,4.3,5.7,0.0047315498382182
Chott,SG,Challenger,791,1142,54.8,7.7,5.6,8.3,0.0047243898431104
KDF 태윤,KR,Challenger,764,1239,54.2,6.4,5.3,6.7,0.0047176489949807
Rayito,EUW,Challenger,879,831,54.9,5.7,5.3,8.0,0.0047042339086107
DØgman,OCE,Challenger,744,1350,56.0,7.1,4.8,7.2,0.0046846459470561
Aphelios to r1,RU,Challenger,772,1212,58.7,6.4,6.1,6.4,0.0046673818507801
Noah7,EUW,Challenger,1782,2,60.7,9.0,5.5,7.8,0.0046398962053582
Iinks,EUW,Challenger,991,484,55.9,6.3,5.4,8.2,0.0046259002532744
Enthralled,EUW,Challenger,751,1311,54.9,7.1,5.8,7.4,0.004608099687688
Sora,PH,Challenger,720,1432,60.3,8.6,4.6,7.0,0.0045828967508826
Doding,PH,Challenger,731,1387,54.0,7.6,5.0,5.8,0.0045789669071501
Renshy,LAN,Challenger,720,1429,56.3,6.2,4.6,7.2,0.0045769720934086
Bazz B,EUW,Challenger,1123,224,57.7,6.6,3.1,8.9,0.0045278222290606
소년가장 원딜,KR,Challenger,673,1623,52.2,6.1,4.6,6.5,0.0045255529090547
Mαrth,EUW,Challenger,848,943,60.7,6.5,3.9,6.9,0.0045224422571016
WUDZOEMJUB,EUW,Challenger,1010,415,62.6,7.5,4.1,6.5,0.0045186056634936
Wayyyyy,TW,Challenger,692,1551,57.3,8.2,5.3,6.8,0.0044897713150342
chico,JP,Challenger,726,1410,57.4,5.9,5.5,7.7,0.0044826204086357
Aggyá kétezret,EUNE,Challenger,722,1426,64.1,6.2,4.8,8.1,0.0044093281451592
Croquette,KR,Challenger,744,1349,59.1,7.2,4.9,8.2,0.0043979329945705
OneZang,KR,Challenger,698,1531,52.7,4.7,4.5,7.0,0.0043975796389689
Gentleman Kra,SG,Challenger,744,1352,55.8,4.4,5.3,10.8,0.0043873072432266
Kími1,LAS,Challenger,758,1274,51.8,7.2,4.5,6.6,0.004385380103651
Corvo Attano,RU,Challenger,769,1228,65.6,8.2,4.0,7.5,0.0043825495384872
NSK BlastSoul,LAN,Challenger,721,1423,61.3,7.2,4.0,6.9,0.0043343338188679
qasdzxcvewz,KR,Challenger,687,1564,53.7,7.0,4.8,6.8,0.0042763508189899
baozaopiqi,KR,Challenger,660,1686,52.1,6.7,6.1,6.0,0.0042757288287362
Jasinto,LAN,Challenger,698,1536,53.2,6.6,5.5,7.5,0.0042419481741649
USC Inferno,EUW,Challenger,773,1206,56.3,5.0,4.2,8.2,0.0042387315159767
