nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
paiN caca1,Lee Sin,50,7.6,5.6,8.0,48.8,Kindred,150,10.0,5.6,8.1,74.2,Vi,28,6.0,5.1,10.6,70.6,0.0087185434642844
JUGKlNG,Sylas,2,9.0,4.6,7.2,69.2,Lee Sin,76,7.7,3.8,8.3,75.9,Nidalee,313,6.6,3.5,8.2,70.8,0.008520646742613
Yagiao,Maokai,26,5.6,4.2,10.6,70.2,Elise,5,8.2,5.3,8.1,62.9,Lee Sin,221,7.4,3.7,9.5,64.5,0.0083874910550457
im a jungler,Graves,10,8.0,3.0,8.5,64.5,Kindred,2,8.5,4.0,6.3,50.0,Karthus,87,8.9,5.2,10.7,56.8,0.0083644526854077
Yøø Høbin,Rengar,9,7.4,4.9,6.7,57.1,Kayn,127,11.1,5.1,7.4,76.9,Graves,174,6.7,4.0,7.6,50.0,0.0082889695279283
KJ Allen,Lee Sin,29,8.0,3.9,7.7,57.7,Wukong,367,7.9,3.5,9.0,81.8,Elise,58,7.6,4.1,7.2,55.0,0.0082821188409601
Śheiden,Elise,20,8.7,4.1,6.8,68.6,Kindred,65,9.2,4.6,7.0,71.0,Sylas,69,11.5,5.5,7.9,60.0,0.0082533420002484
dw99q0znyh9c7wh,Kayn,40,9.8,5.1,8.0,58.5,Rengar,15,11.0,5.8,7.2,72.5,Vladimir,1,6.9,4.7,5.4,46.2,0.0082296246867031
AHaHaCiK,Viego,31,7.8,4.9,7.2,56.1,Lee Sin,148,6.4,5.0,9.6,52.8,Graves,352,7.2,5.5,9.4,57.6,0.0081983343171226
Boogeyman,Rengar,4,10.5,3.9,5.2,69.2,Maestro Yi,2,10.0,5.0,4.4,65.1,Sylas,13,8.8,3.7,7.4,75.0,0.0081646472175019
RED Curse,Udyr,33,6.5,3.7,10.7,73.8,Zac,2,6.3,4.5,11.0,62.5,Jarvan IV,294,5.4,6.1,16.8,55.6,0.0080971077574563
ssywfnkhl,Wukong,31,7.5,4.3,7.8,58.7,Lee Sin,24,8.5,3.4,8.8,51.6,Maokai,420,4.4,3.7,11.7,59.3,0.007990152178158
100T C1oser,Vi,18,5.1,4.8,9.1,58.3,Gragas,287,8.8,3.4,8.9,80.0,Lee Sin,97,9.9,4.2,9.5,73.3,0.007941496406543
Villager C,Lee Sin,60,8.4,4.1,8.5,56.8,Sylas,24,10.3,4.8,6.6,54.2,Kindred,151,9.5,4.7,7.9,66.7,0.0079184836472481
lalalalalalaaala,Elise,63,7.1,3.5,7.7,65.4,Lee Sin,8,7.1,3.5,7.8,61.5,Wukong,488,6.9,4.0,7.6,60.0,0.0078543805499205
Wx Mjm978244659,Ekko,23,8.0,4.2,5.6,54.7,Jarvan IV,31,6.1,4.4,11.4,57.4,Blitzcrank,22,1.5,4.7,11.4,55.6,0.0078043301258262
DuplaNazareno,Lee Sin,17,7.9,3.6,7.3,54.3,Vi,69,7.2,4.1,9.5,68.2,Kindred,7,8.4,4.4,5.5,54.5,0.0077767980696682
Perfect Blue,Graves,65,8.7,3.5,7.7,67.6,Sejuani,1,4.7,4.1,9.4,55.9,Lee Sin,12,7.5,4.7,8.6,54.2,0.0077739563366759
Zwei und die,Vi,46,5.8,4.1,11.0,61.9,Gragas,74,6.6,3.5,8.3,50.0,Xin Zhao,433,5.8,5.2,9.0,37.5,0.0077722528948449
LBR Drakehero,Lee Sin,19,8.3,4.3,9.5,67.1,Sylas,2,9.1,4.9,6.7,46.2,Maokai,253,5.4,3.9,9.2,61.3,0.0077519840915652
B0NN1E,Maokai,18,4.5,4.2,10.9,63.3,Elise,9,6.8,4.3,9.2,69.0,Wukong,7,6.2,4.8,8.1,54.3,0.0077418565423983
VELJA THE MENACE,Nidalee,29,8.4,2.7,6.9,76.5,Kindred,24,8.5,5.5,6.2,53.6,Graves,445,6.4,3.3,5.8,62.5,0.0077182355059727
Matty,Udyr,40,3.7,3.4,7.8,59.5,Maokai,23,4.0,3.8,11.0,63.4,Sejuani,18,4.5,4.4,10.6,60.0,0.0077083558654089
zuao og,Elise,81,8.0,4.5,8.0,59.5,Sejuani,45,6.6,3.9,17.9,76.5,Sylas,94,7.7,6.7,8.6,66.7,0.0076714417299417
sarolu,Lee Sin,95,7.2,4.4,8.6,62.5,K'Sante,13,4.1,4.3,5.3,50.0,Talon,196,7.6,5.9,7.1,58.3,0.0076643425967336
TH Krillin,Viego,25,8.6,4.9,6.9,50.0,Kindred,433,9.2,5.4,8.0,58.6,Graves,351,8.0,5.1,8.3,44.8,0.0076628470849966
JhompysJr,Hecarim,18,8.8,5.4,7.0,58.7,Zac,5,6.3,3.9,10.2,57.1,Lillia,7,5.4,6.3,7.3,32.3,0.0076087298338105
再见,Nidalee,153,8.1,3.7,8.0,63.3,Lee Sin,2,6.9,4.2,8.3,57.5,Sylas,13,8.2,5.6,7.1,49.3,0.0076023821840207
TETIS XDDDDD,Sylas,89,9.7,4.0,6.6,61.2,Kindred,9,8.9,4.5,7.0,61.7,Lee Sin,10,8.7,3.7,9.4,66.7,0.0075645514812922
exselor,Gragas,13,6.8,3.9,9.1,60.5,Wukong,22,8.1,3.6,7.9,66.7,Lee Sin,22,7.2,4.4,8.1,57.7,0.0075621873257356
陪daiVX Ekko4567,Bel'Veth,3,8.5,3.8,6.2,64.6,Viego,1,7.7,4.7,6.6,51.4,Sylas,15,7.2,6.3,6.8,40.0,0.0075548410924232
Paresz14,Graves,6,8.8,4.5,8.6,64.8,Maokai,1,5.0,3.6,10.5,64.1,Caitlyn,50,5.7,5.0,6.5,63.6,0.0075373689157989
