nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
kaito,Aurelion Sol,608,7.0,4.0,7.3,55.0,Zed,1383,7.5,5.6,7.0,61.9,Sion,18,2.0,4.7,5.7,50.0,0.0031612143954521
kaito,Aurelion Sol,660,6.9,4.0,7.3,54.7,Zed,1370,7.5,5.6,7.0,61.9,Sion,20,2.0,4.7,5.7,50.0,0.0031612143954521
Cazadorgon,Akali,162,8.1,4.4,5.1,60.0,Syndra,127,6.7,3.7,6.1,60.0,Ryze,90,6.3,3.9,8.1,57.1,0.0031585408062051
lanse,Katarina,744,7.9,3.6,5.5,55.3,Sivir,19,5.3,3.7,8.3,66.7,Ezreal,162,6.0,4.3,4.7,66.7,0.0031491748195125
TTV Seshulol,Cassiopeia,27,6.6,3.8,6.3,61.7,Ziggs,2383,5.8,3.4,8.2,54.2,Veigar,1,7.0,3.9,6.9,52.4,0.0031412017301524
모래상자,Ryze,80,6.0,3.8,8.7,73.1,Jayce,101,5.1,5.4,7.3,58.8,Azir,2913,5.0,6.1,5.7,43.8,0.0031341806358309
MID SPARKLE,Jayce,496,6.0,3.9,6.3,63.6,Taliyah,391,6.2,3.3,10.3,72.7,Sylas,96,6.9,2.9,6.0,80.0,0.0031270786449218
Roison,Viktor,555,5.3,4.8,7.1,60.7,Corki,359,8.9,5.7,6.5,68.2,Karma,36,3.0,4.8,10.6,47.6,0.0031182280478701
banana pancakes,Ryze,111,4.5,4.6,7.3,61.9,LeBlanc,109,7.9,4.5,5.0,56.3,Jhin,68,7.8,7.2,7.4,45.5,0.0031114196257888
재벌의 외아들,Aurelion Sol,495,6.4,4.9,6.6,48.6,Jayce,77,5.8,5.9,4.4,50.8,Kassadin,147,6.0,3.9,4.2,50.9,0.0031095212360989
재벌의 외아들,Aurelion Sol,494,6.4,4.9,6.6,48.6,Jayce,78,5.8,5.9,4.4,50.8,Kassadin,146,6.0,3.9,4.2,50.9,0.0031095212360989
재벌의 외아들,Aurelion Sol,494,6.4,4.9,6.6,48.6,Jayce,78,5.8,5.9,4.4,50.8,Kassadin,146,6.0,3.9,4.2,50.9,0.0031094259814572
재벌의 외아들,Aurelion Sol,495,6.4,4.9,6.6,48.6,Jayce,77,5.8,5.9,4.4,50.8,Kassadin,147,6.0,3.9,4.2,50.9,0.0031094259814572
Fullscreened,Aurelion Sol,675,7.0,4.7,8.0,54.1,Qiyana,266,9.5,6.7,6.3,58.3,Sylas,21,8.3,6.9,7.2,50.0,0.0030776891027048
Binturong,Viktor,880,5.7,4.7,6.1,66.7,Irelia,115,5.1,7.8,4.0,46.9,Tristana,2792,7.1,5.0,5.3,59.1,0.0030762922378256
mashushu,Jayce,54,6.5,6.0,5.9,52.0,Syndra,2340,7.0,6.0,8.0,41.7,Ryze,1434,6.9,5.6,9.1,57.1,0.00307392436138
Elite500,Vladimir,440,5.2,3.5,4.3,50.3,Yone,58,5.3,5.6,4.7,59.4,Viktor,397,4.2,4.5,5.7,64.7,0.0030599968844346
Soorieeketoon,Akali,86,9.4,3.8,5.3,53.1,Viktor,2455,7.1,4.2,6.6,68.3,Kai'Sa,12,6.8,4.6,4.2,36.8,0.0030447125024419
1dywfilwm,Ryze,10,7.1,4.8,5.9,52.9,Caitlyn,2568,5.8,6.1,8.6,70.4,Viktor,81,5.5,6.0,5.3,56.0,0.0030274803450598
Molnigt,Yone,75,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0030001150110563
Molnigt,Yone,73,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0030001150110563
Molnigt,Yone,75,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029997549875223
Molnigt,Yone,73,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029997549875223
Molnigt,Yone,75,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029943114589317
Molnigt,Yone,73,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029943114589317
dlmcw,Zoe,70,6.1,2.8,6.7,56.8,Lee Sin,2525,7.5,4.0,8.2,66.7,Graves,3,7.8,4.1,8.6,78.6,0.0029940037442772
Molnigt,Yone,73,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029939546253069
Molnigt,Yone,75,8.0,5.1,4.8,57.9,Yasuo,104,6.8,4.9,4.5,49.4,Zed,7,8.1,5.4,5.5,53.8,0.0029939546253069
MatrixWind,Yasuo,241,6.1,5.5,5.2,57.0,Yone,2577,7.7,5.5,5.3,50.0,Diana,34,10.9,4.4,8.4,64.7,0.0029801100966102
KAT ADAGA GROSSA,Katarina,692,9.2,4.1,5.5,58.8,Sylas,1134,7.7,5.2,5.0,45.5,Yone,17,4.8,4.5,3.3,33.3,0.0029766680069714
KAT ADAGA GROSSA,Katarina,666,8.8,4.0,5.5,58.0,Sylas,1240,7.7,5.2,5.0,45.5,Yone,19,4.8,4.5,3.3,33.3,0.0029766680069714
KAT ADAGA GROSSA,Katarina,666,8.8,4.0,5.5,58.0,Sylas,1240,7.7,5.2,5.0,45.5,Yone,19,4.8,4.5,3.3,33.3,0.0029611517696072
KAT ADAGA GROSSA,Katarina,692,9.2,4.1,5.5,58.8,Sylas,1134,7.7,5.2,5.0,45.5,Yone,17,4.8,4.5,3.3,33.3,0.0029611517696072
Đặng Xuân Huy,Syndra,98,5.3,4.2,5.9,60.8,Ashe,2506,2.8,6.2,12.9,55.4,Graves,7,7.1,5.1,6.5,53.3,0.0029263641333885
茶是一種蔬菜湯,Sylas,93,8.5,7.4,5.6,61.8,Akshan,2607,8.6,7.8,4.5,54.5,Yasuo,75,6.6,7.7,6.3,68.4,0.0029227272257252
Gorenicolt,Yone,382,5.4,5.2,6.3,50.0,Ezreal,898,4.5,4.2,6.7,38.9,Viego,3146,6.9,5.0,6.3,73.3,0.0029113869897754
BºG LongKa,Taliyah,81,8.1,5.5,8.3,65.7,Zoe,7,8.7,4.4,8.3,65.4,Sylas,102,8.2,6.4,6.6,46.7,0.0029073209727995
도천지,Twisted Fate,456,3.7,3.8,8.6,57.0,Orianna,8,3.9,4.1,8.8,49.0,Viktor,28,4.3,5.0,6.7,41.4,0.0028991410866904
dog kachu,Samira,52,10.4,5.1,6.4,70.3,Sylas,53,8.7,4.8,6.6,65.2,Irelia,409,4.0,5.7,4.0,38.5,0.0028905179968915
작멍2,Zoe,531,5.8,3.9,6.5,53.5,Ahri,56,4.8,4.3,7.3,57.5,Tristana,56,5.8,4.2,4.4,43.6,0.002887349114369
작멍2,Zoe,527,5.8,3.9,6.5,53.5,Ahri,56,4.8,4.3,7.3,57.5,Tristana,57,5.8,4.2,4.4,43.6,0.002887349114369
