nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
경기도광주이상민,KR,Challenger,774,1197,53.1,5.7,4.4,6.1,0.0054062229670903
Firn,EUW,Challenger,774,1199,56.8,7.9,4.0,5.9,0.0053990845553465
Aloned2,EUW,Challenger,757,1281,53.8,5.3,4.5,6.6,0.0053898975339151
jojongsa,BR,GrandMaster,956,2633,54.9,5.6,5.4,7.5,0.0053897594334938
Nagito,TR,Challenger,518,2456,52.0,6.7,5.7,7.5,0.0053834609940593
RISE nZ,BR,GrandMaster,785,2841,56.2,5.8,4.0,7.0,0.0053779978520113
バス乗りかっくん,JP,Challenger,766,1230,54.3,6.0,5.1,7.8,0.0053725818623431
Meiyuuki,PH,Challenger,528,2403,64.8,8.6,5.1,5.5,0.0053632808974111
II Dantz II,BR,GrandMaster,884,2655,54.1,5.7,4.6,7.1,0.0053428372184504
Zelt,EUW,Challenger,810,1075,53.2,6.1,3.8,6.5,0.0053364080098203
woxiangdasini,KR,Challenger,748,1326,54.3,5.4,4.8,6.4,0.0053261087450486
Anahazanann,BR,GrandMaster,777,2863,57.2,6.3,5.4,5.6,0.0053154674621713
Ekkolyzer,TR,Challenger,520,2444,51.1,6.2,3.6,7.6,0.0053120311780035
Minju,OCE,Challenger,780,1183,60.0,4.4,4.3,10.3,0.0053067186015198
Ylone,EUW,Challenger,761,1264,51.3,5.5,3.5,7.0,0.0053017023390557
就像夢一般的現實,TW,Challenger,534,2364,54.2,5.3,3.8,7.3,0.005286240275253
Don Noway,EUW,Challenger,1113,243,54.3,5.6,5.6,6.4,0.0052834051144313
Chela Enjoyer,LAS,Challenger,762,1260,59.2,6.7,2.9,6.7,0.0052802553572943
WilBR,LAS,Challenger,879,833,57.9,5.3,3.8,6.4,0.0052571109068392
Ha4ayAnnAh,PH,Challenger,510,2528,55.9,7.5,6.8,7.1,0.0052556924233314
titngo22,VN,Challenger,528,2401,70.3,8.8,4.5,9.2,0.005254010548392
Litos,LAS,Challenger,747,1334,57.2,7.4,5.0,6.8,0.0052325533234545
Logoet,BR,GrandMaster,794,2824,56.6,5.6,3.2,7.2,0.0052255228119237
Cotogod,EUW,Challenger,941,597,53.7,5.0,5.0,6.8,0.0052090550026434
El Capitàn Beto,LAS,Challenger,732,1382,53.9,4.4,4.0,8.9,0.005203098421547
Hindered Raven,OCE,Challenger,749,1325,57.3,5.8,4.0,6.6,0.0051969831778529
gogumakimchi,EUW,Challenger,853,926,54.5,6.5,6.1,6.2,0.0051876775685154
THIAGUlNHO,BR,GrandMaster,901,2647,54.1,5.7,5.8,6.6,0.0051846679129152
Lorlor,EUW,GrandMaster,783,2848,52.9,5.1,5.8,8.6,0.005181647388277
TWTV manubetter,LAN,Challenger,748,1327,51.7,6.3,4.7,6.4,0.0051745587155268
БЛYASUO,RU,Challenger,755,1295,56.7,6.3,5.2,8.3,0.005157855440023
邱記楊貴妃,TW,Challenger,738,1368,56.0,5.7,3.6,6.6,0.0051524353793928
ladder adjuster,EUNE,Challenger,729,1397,60.3,8.1,5.6,6.2,0.0051510491401407
拿手絕活,TW,Challenger,711,1472,57.0,5.6,5.2,10.1,0.0051450727444912
qingxuzhishenQAQ,KR,Challenger,734,1379,52.4,5.9,4.1,6.2,0.0051393741186206
moon n back,LAS,Challenger,564,2222,55.0,7.4,4.6,6.2,0.0051377663851659
stuck in reverse,PH,Challenger,744,1347,53.9,7.2,6.0,7.5,0.0051359834020945
vicki my queen,LAS,Challenger,570,2194,56.0,6.4,5.4,5.9,0.0051290294738061
TWTV Murillosama,LAN,Challenger,731,1385,52.0,6.9,4.6,6.2,0.0051279710116871
yuezhihuxiz,TW,Challenger,539,2332,54.7,5.3,4.2,6.1,0.0051124550594364
T1 Sorrowful,TW,Challenger,548,2277,55.7,5.4,4.9,6.4,0.0051121709110779
Chońcc,TR,Challenger,567,2203,54.7,7.7,4.7,5.6,0.0051096564546715
Nim Chimpsky,EUW,Challenger,753,1305,54.8,4.0,3.9,8.0,0.0050979109674006
MessaRizz,EUW,Challenger,783,1174,52.6,5.3,4.5,6.7,0.0050904175062733
Molnigt,RU,GrandMaster,516,4815,53.8,5.7,4.0,5.6,0.0050893762136218
Molnigt,RU,GrandMaster,516,4815,53.8,7.5,5.4,5.0,0.0050893762136218
Molnigt,EUW,GrandMaster,805,2805,53.8,7.5,5.4,5.0,0.0050893762136218
Molnigt,EUW,GrandMaster,805,2805,53.8,5.7,4.0,5.6,0.0050893762136218
Deuz,PH,Challenger,719,1439,57.6,6.8,4.4,5.9,0.005088730349876
Molnigt,RU,GrandMaster,516,4815,53.8,5.7,4.0,5.6,0.0050885782758656
Molnigt,RU,GrandMaster,516,4815,53.8,7.5,5.4,5.0,0.0050885782758656
Molnigt,EUW,GrandMaster,805,2805,53.8,7.5,5.4,5.0,0.0050885782758656
Molnigt,EUW,GrandMaster,805,2805,53.8,5.7,4.0,5.6,0.0050885782758656
Midbeast,OCE,Challenger,731,1389,54.6,4.9,5.9,7.6,0.005084236249269
GGodmaw,LAN,Challenger,727,1406,53.1,6.5,5.8,6.2,0.0050759692956026
k mid1,TR,Challenger,524,2421,57.2,8.3,4.7,7.5,0.0050496882085351
sopjsafjp,EUW,Challenger,918,676,57.9,6.0,4.4,6.0,0.0050469068598556
eat,LAS,Challenger,712,1462,55.3,7.2,5.4,7.8,0.0050460648279668
Carnivore Diet 2,LAS,Challenger,713,1461,52.1,5.0,4.6,4.3,0.0050309106646986
Fox Noir,PH,Challenger,754,1297,55.4,6.1,4.5,10.0,0.0050250742414235
tempfcbblucglfya,TW,Challenger,549,2272,54.9,7.1,5.8,6.9,0.0050238518697032
é o sleepy,BR,GrandMaster,757,2921,55.6,7.3,5.1,6.8,0.0050218569862199
21st,TR,Challenger,511,2517,53.7,6.3,4.1,6.6,0.005021335505873
Greyrat,LAS,Challenger,715,1456,51.7,5.1,4.1,8.1,0.005019101270905
Mňau,EUNE,Challenger,706,1502,52.8,4.6,4.8,6.6,0.0050076485686231
Incandescence33,EUW,GrandMaster,768,2892,54.1,5.6,4.5,7.2,0.0050072917153018
sh0dy,EUNE,Challenger,677,1611,58.9,7.8,5.4,6.6,0.0050052630836219
