,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,FNC Hylissang,TL Honda CoreJJ,Vulcan 01,역천괴,school phobia,mersa777,Targamas,KC Leona,Zaunite Mylo
17,Gmandlife,EUW,Challenger,1021,381,52.5,2.1,5.0,11.7,0.009119386929061,0.0039642811564047,0.0007741419513075,0.0003618194210088,0.0001396813196208,0.0005733826394711,0.000220490730573,0.0027633184473063,0.0002728162808048,4.945498256357806e-05
18,You,LAS,Challenger,1118,231,62.1,2.6,3.7,13.3,0.0088428804601711,0.0030919773639067,0.0007236404418514,0.0003490852038102,0.0001366438843317,0.0005547960657374,0.0002192304448554,0.0034583815096988,0.0002599241688943,4.9201377084870414e-05
19,RIV kshhh,BR,Challenger,962,547,56.6,1.9,4.5,13.7,0.0085015296647936,0.003542978063858,0.000804400702952,0.0003687509014245,0.0001432864688727,0.00055960387657,0.0002243271452387,0.0025260230299199,0.000282498676988,4.966079896946721e-05
20,aRwinGü,TW,Challenger,1304,80,58.5,3.9,4.8,10.4,0.0080755257473388,0.0023843430495178,0.0007537197242753,0.0003510384531224,0.0001342478400906,0.00058947150773,0.000219250684361,0.003340494609299,0.0002539493514563,4.901052748609029e-05
21,Pockus,EUW,Challenger,976,505,52.5,2.1,4.5,11.8,0.0079061589546682,0.0031089727301394,0.0008076938971228,0.0003720132969503,0.000142280199071,0.0005814741271745,0.0002223109081528,0.0023382514484521,0.0002834853640499,4.967698355498084e-05
22,Feliaaa,SG,Challenger,1329,68,55.9,2.0,6.2,13.7,0.0077979504140818,0.0022328649958058,0.0007385605144308,0.0003494867125454,0.000133933762172,0.0005788029517287,0.0002188825667061,0.0032446213167307,0.0002517771499581,4.902044400386496e-05
23,Kick a boo,BR,Challenger,1154,182,56.9,4.7,4.0,11.1,0.0076707815906579,0.0007244077311127,0.0033523616221521,0.0004909115621224,0.0001427252582638,0.0016053886331901,0.0002549224966766,0.0007271361997588,0.0003235082848457,4.941980253545519e-05
24,bountyyspider,BR,Challenger,1314,73,54.4,2.9,5.4,13.7,0.0076431377820964,0.0022396624871854,0.0008207808364658,0.0003629741130956,0.0001358009160649,0.0006142554494549,0.0002294861265891,0.0029318003856123,0.0002593163744178,4.906109321017453e-05
25,Isles1,EUW,Challenger,1355,52,55.4,2.0,3.9,14.0,0.0075672090881706,0.0021498928431213,0.0008167873060642,0.000360395131856,0.0001346681792608,0.0006291111809172,0.0002239420887892,0.0029461267658054,0.0002572779826799,4.9007609676221306e-05
26,Procurando Nami,BR,Challenger,1326,69,53.1,2.8,4.1,13.7,0.0074391869546876,0.0021731842424038,0.000717227480878,0.0003451595942412,0.0001338308854906,0.0005752014693649,0.0002180545815457,0.0029755678558063,0.0002519726071971,4.8988237759765685e-05
27,FUR Manel,BR,Challenger,1078,285,56.5,4.7,5.2,11.2,0.0073687236036077,0.0022704776007908,0.0010489767267304,0.0003920119561742,0.000139793266032,0.0006983549229357,0.0002279223541136,0.0022600051778146,0.0002818001711817,4.93814278343866e-05
28,Thumbs Down,EUW,Challenger,1395,44,57.2,3.7,5.2,12.9,0.0073265138419774,0.0019848846770241,0.0007721981847378,0.0003542906931012,0.0001336592460284,0.0006180543798399,0.0002187184273824,0.0029415154049708,0.0002541875817409,4.900524715134753e-05
29,Vitu 9,BR,Challenger,973,517,53.9,2.2,5.4,12.8,0.0073028239708699,0.0025416908016161,0.0009482804134327,0.0003884939234338,0.0001432673278911,0.0006398376828583,0.000224146020906,0.0020748338258344,0.0002925834188789,4.969055601827063e-05
30,Twitchtv Crecre,LAN,Challenger,925,644,52.6,2.2,5.2,14.5,0.0072926055012159,0.0028574396110887,0.0007585985500833,0.00036336854035,0.0001443983483779,0.0005388449122893,0.0002223173030679,0.0020730276757577,0.000284871231758,4.973932844273452e-05
31,Breezyyy,EUW,Challenger,935,613,54.3,2.3,5.1,12.0,0.0072170909582588,0.0028076662207635,0.0007705100405196,0.000371307559106,0.00014419721865,0.0005384150002415,0.0002230148482895,0.0020289252006489,0.000283173684771,4.988118526849486e-05
32,bddst shp,RU,Challenger,978,503,58.9,4.5,4.1,11.3,0.0070919297242607,0.0025413873031833,0.0007776703362747,0.000365296472548,0.0001419788066825,0.0005465796282815,0.0002229652274333,0.0021706527841811,0.0002757888200927,4.961034558319495e-05
33,shibidi bob yes,EUW,Challenger,1005,432,58.5,4.6,4.8,11.4,0.0070306834125676,0.0022268294437307,0.0009699343973121,0.0003930539597699,0.0001417846525106,0.0006486154114005,0.0002249033318946,0.0020891825173852,0.0002867160057226,4.966369284103018e-05
34,INTZ Nia,BR,Challenger,1354,53,54.7,3.6,6.5,12.7,0.0069249344882012,0.0019617008425405,0.0009003176231332,0.0003757440180723,0.0001359756114808,0.0006685013673472,0.0002315097463087,0.0023387879701229,0.0002632790479894,4.911826120575258e-05
35,ReturnOfTheΚing,EUW,Challenger,978,501,55.3,2.1,5.3,12.9,0.0069230839150322,0.0025618072390182,0.000766497997985,0.0003643170714267,0.0001421328657593,0.0005644935417804,0.0002210961004144,0.0019715710135043,0.0002815385897473,4.9629495396186416e-05
36,weixin7777777,OCE,Challenger,928,634,53.3,3.7,4.8,9.6,0.006921119826505,0.002612580380163,0.0007824705590016,0.0003828419493917,0.0001454098773591,0.0005351174955203,0.0002278723047864,0.001899131757089,0.0002855976794866,5.009782370697811e-05
37,Liberty Momochi,BR,Challenger,1301,81,58.9,3.2,4.8,15.0,0.0068658041014403,0.0019257700928329,0.0009239581068153,0.0003856692841049,0.0001363675693716,0.0006654584927393,0.0002300422424215,0.0022847794787637,0.000264451052411,4.930778197975477e-05
38,xooos,BR,Challenger,1119,231,55.1,4.1,5.2,13.5,0.0068449208820824,0.0019959808532127,0.001006295934502,0.0004195177529633,0.0001387062417341,0.0006975890108911,0.0002250756825103,0.0020343370954507,0.0002774978673594,4.992044345853755e-05
39,ProDelta,BR,Challenger,1427,32,55.4,2.6,5.9,14.0,0.0068018599738938,0.0018558837611429,0.0008185965993576,0.0003605451701334,0.000134522401035,0.000636943547834,0.0002256593653809,0.0024638472024958,0.0002568937225372,4.896820397683337e-05
40,Down Kim,EUW,Challenger,1250,101,54.4,2.6,5.2,12.1,0.00673997929588,0.0018484057732468,0.0010740437154864,0.0003909405825013,0.0001381170455005,0.0007280521384024,0.0002395879323731,0.0019974467446255,0.0002742648169023,4.912054684138952e-05
41,vvx1585410146,OCE,Challenger,981,498,56.1,3.4,5.0,12.9,0.0067216074342806,0.0022956078421338,0.000767912816313,0.0003634246895283,0.0001418239214994,0.0005427011001785,0.000222867558831,0.0020628114163374,0.0002748803688297,4.9577720629007554e-05
42,DeadVinland,BR,Challenger,917,679,56.3,4.5,6.0,11.9,0.0067044726054281,0.0024867068859194,0.0007699405777361,0.0003674199700982,0.0001457946502045,0.0005368114411002,0.0002240306809951,0.001834784658563,0.0002891471068582,4.983663395301454e-05
43,scamber,BR,Challenger,929,634,53.1,2.6,5.9,14.5,0.0066037959482871,0.0021723339077933,0.000966797550368,0.0004019328236932,0.0001469088368967,0.0006149224101836,0.00023181097851,0.0017161862774617,0.0003029186101579,4.998455322216981e-05
44,V Julius Caesar,EUW,Challenger,1207,137,60.2,2.5,5.5,13.8,0.0065703328468736,0.0018018793357812,0.0010216834286347,0.0003870403642429,0.0001390182436723,0.0006727380656501,0.0002428743483517,0.0019828451809596,0.0002731097601146,4.914411946601528e-05
45,kStars Telas,BR,Challenger,1351,55,54.9,4.0,5.7,13.7,0.006554800836028,0.0017360335364441,0.0009417805605807,0.0003809132389845,0.0001346845240288,0.0007422016840297,0.0002208536354676,0.0020836123360582,0.0002655723205947,4.91489998393249e-05
46,Chu성훈,KR,Challenger,1310,75,54.4,3.1,4.6,11.4,0.0065328903039796,0.0018623938128604,0.0007678740520863,0.0003560586481558,0.0001342987136552,0.0006224524606891,0.0002189971357708,0.0022636142088817,0.0002581465148167,4.9054757063302735e-05
