nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
100 Unforgiven,Xayah,31,8.1,5.0,6.8,63.2,Caitlyn,10,6.0,5.0,5.3,58.3,Zeri,226,7.7,4.5,5.6,51.4,0.0087870057713089
Scorth,Ezreal,91,7.5,5.0,6.7,59.6,Zeri,35,9.3,5.0,6.1,55.8,Samira,188,10.6,5.4,5.2,60.5,0.0085589032034876
Notiko,Ezreal,112,7.1,4.5,6.8,53.8,Varus,140,5.7,4.8,7.2,55.6,Xayah,340,8.6,4.7,7.5,78.8,0.0084341982031323
como a isa,Zeri,32,8.9,5.6,7.2,68.6,Kai'Sa,6,9.1,7.4,7.6,56.0,Sivir,716,5.7,6.0,7.2,55.0,0.0082586415944161
Maykel,Varus,80,7.6,5.4,8.0,54.2,Caitlyn,36,7.4,5.2,8.9,62.9,Zeri,156,7.2,5.0,7.5,35.3,0.0081093297180858
remove ff ggwp,Caitlyn,136,7.2,4.8,5.8,54.0,Ezreal,108,6.2,5.0,6.5,55.4,Kai'Sa,93,8.6,5.3,5.7,51.2,0.0080842581287042
kksh3,Caitlyn,98,7.3,4.5,6.5,58.1,Zeri,319,7.1,3.9,6.1,53.8,Xayah,381,8.6,5.0,6.1,60.9,0.0080113932353441
viper3,Varus,93,7.5,5.4,8.9,57.9,Senna,192,7.2,4.7,13.4,73.3,Ezreal,83,8.5,4.7,7.9,66.7,0.0079114370368498
viper3,Caitlyn,14,6.5,4.5,7.4,70.5,Varus,8,8.3,4.8,7.5,54.5,Zeri,881,6.8,4.9,5.3,53.1,0.0079114370368498
niinim,Twitch,48,11.2,8.2,7.2,65.1,Draven,6,9.1,8.2,5.9,48.5,Kai'Sa,77,8.9,8.5,6.4,47.5,0.0078874212041368
Kral Luger,Xayah,26,9.3,4.0,7.2,60.6,Ashe,272,4.9,3.4,9.4,65.2,Varus,277,6.5,5.0,6.6,60.9,0.0078842172829321
Palavra,Varus,96,9.0,5.3,6.6,55.8,Kai'Sa,206,9.3,5.5,6.3,60.6,Zeri,667,9.3,5.2,6.3,56.7,0.0078165563823377
zi du,Samira,104,10.1,5.8,7.5,63.8,Tristana,4,7.9,4.2,5.0,54.2,Lucian,565,7.3,6.7,6.7,52.4,0.0077858271842428
udo1zO5x3,Varus,28,7.3,3.9,6.3,59.3,Xayah,21,8.2,3.1,6.2,63.4,Caitlyn,126,5.3,3.3,5.6,61.0,0.0077523018637167
zenbukorosu,Draven,13,7.4,5.6,7.1,57.2,Tristana,31,6.7,5.3,5.8,51.5,Varus,49,6.1,5.6,6.6,46.7,0.0077240860724235
no brain adc,Caitlyn,28,8.9,4.9,8.0,69.2,Ezreal,217,8.6,4.1,6.6,70.6,Lucian,522,9.8,4.9,6.0,70.6,0.0077056202660571
RIV ixdmmpxr,Zeri,75,6.9,5.3,6.5,47.8,Varus,139,7.9,6.2,10.4,60.0,Caitlyn,21,6.3,4.7,7.3,53.7,0.0076181586149315
LLL Beenie,Caitlyn,41,7.6,4.6,6.7,56.4,Ezreal,146,6.8,4.8,7.7,66.7,Zeri,91,8.7,4.3,7.0,48.4,0.0075799656623034
viper3,Caitlyn,14,6.5,4.5,7.4,70.5,Varus,8,8.3,4.8,7.5,54.5,Zeri,881,6.8,4.9,5.3,53.1,0.0075507779453724
viper3,Varus,93,7.5,5.4,8.9,57.9,Senna,192,7.2,4.7,13.4,73.3,Ezreal,83,8.5,4.7,7.9,66.7,0.0075507779453724
SaicoWhenISlide,Varus,72,7.3,5.3,7.1,57.1,Lucian,152,9.3,5.8,7.3,65.6,Zeri,38,6.6,5.0,5.9,58.1,0.0075233950375983
Pongji,Zeri,51,6.8,4.0,6.6,62.2,Kai'Sa,54,7.2,3.2,5.9,70.0,Aphelios,185,7.2,5.1,5.2,60.9,0.0075080669582543
viper3,Varus,93,7.5,5.4,8.9,57.9,Senna,192,7.2,4.7,13.4,73.3,Ezreal,83,8.5,4.7,7.9,66.7,0.0074819202590865
viper3,Caitlyn,14,6.5,4.5,7.4,70.5,Varus,8,8.3,4.8,7.5,54.5,Zeri,881,6.8,4.9,5.3,53.1,0.0074819202590865
SNIPP FON FON,Varus,146,6.4,4.3,7.0,70.5,Ashe,2,3.4,5.3,14.2,69.4,Caitlyn,48,6.3,4.9,7.1,53.1,0.0074325377819625
NS Jiwoo,Zeri,37,7.9,4.3,6.0,56.0,Varus,37,5.7,4.6,6.7,57.8,Veigar,176,6.9,4.1,7.5,67.9,0.0074107904677415
warcyclone,Ezreal,103,6.4,4.7,7.2,60.0,Zeri,7,5.5,3.9,6.8,40.6,Varus,488,5.4,4.1,7.2,50.0,0.0073874145544958
avarice61,Aphelios,38,6.0,5.3,6.4,48.9,Ezreal,23,6.5,4.6,6.6,46.3,Nilah,240,5.3,4.4,7.2,57.4,0.0073584566308159
DUDAO MALTRATA,Zeri,42,9.0,4.1,6.2,62.1,Varus,247,8.7,6.6,7.7,67.9,Lucian,89,6.9,6.0,6.6,53.6,0.007328346143664
