nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
printer break,Ashe,148,2.8,5.7,15.2,69.0,Lulu,1,2.1,4.0,15.2,57.7,Ezreal,22,5.4,4.9,6.1,48.6,0.0051841701657588
YoojungHukiriLee,Nautilus,109,1.6,5.0,14.0,58.3,Lulu,299,1.9,4.2,17.4,72.2,Rakan,178,1.6,4.8,14.6,64.7,0.0051793770443478
Douzheng,Ashe,138,2.3,5.4,11.3,55.1,Annie,36,3.5,6.3,13.7,50.0,Nautilus,281,1.5,5.8,13.4,50.0,0.0051380020404226
donkey gap,Nautilus,151,1.7,5.0,15.4,59.3,Rakan,212,1.3,3.2,17.0,65.4,Ashe,171,2.9,4.3,14.9,62.5,0.0051112306060718
Garrett Meyerson,Thresh,245,1.5,3.5,14.6,61.5,Bardo,9,1.7,3.4,14.7,59.3,Ashe,8,2.5,3.5,9.9,47.5,0.0050468052837341
Armored Mawdad,Rakan,137,1.6,4.5,14.8,57.1,Annie,30,2.3,4.8,14.5,59.1,Taric,21,1.6,5.2,13.6,48.8,0.0050241382771557
BioPanther,Bel'Veth,1,8.0,4.2,7.8,53.8,K'Sante,11,4.8,2.3,7.1,70.8,Thresh,7,1.7,4.4,13.4,59.1,0.0050053347111906
슈퍼히어로6,Karma,104,2.4,4.4,14.2,61.1,Rell,217,1.8,4.3,14.7,68.6,Nautilus,55,1.7,4.3,14.5,70.6,0.0049872452722958
MaioLex,Lux,179,4.9,4.6,10.9,52.2,Zilean,41,3.0,3.9,14.3,56.5,Ezreal,267,7.6,5.1,7.9,57.1,0.0049783824248213
frosty,Ashe,1,3.6,4.9,13.5,52.9,Karma,21,4.2,4.5,16.8,64.7,Heimerdinger,70,4.6,5.4,11.6,58.8,0.0049428674032039
raw outlaw,Taliyah,190,4.7,7.3,10.9,50.7,Janna,37,1.1,3.2,14.6,61.4,Karma,11,3.0,5.2,15.2,69.6,0.0048975159288883
DK Loopy,Ashe,81,2.7,4.7,11.2,52.6,Nautilus,86,1.7,4.8,12.0,45.0,Annie,424,2.7,4.8,13.2,62.1,0.0048588048740159
Colchønsito,Pyke,48,6.5,5.5,8.8,59.0,Rakan,5,1.8,4.3,16.7,57.1,Vex,25,8.8,5.9,9.1,53.8,0.0048133521947923
