nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Drututt,TW,Challenger,631,1850,55.9,6.2,4.2,4.2,0.0016782833178778
Drututt,EUW,Challenger,890,798,53.1,6.2,4.2,4.2,0.0016782833178778
Diluc,TR,Challenger,667,1652,51.1,7.4,7.3,5.2,0.0016762879946189
Go Ha Go Ha,EUW,Challenger,843,961,52.2,4.3,4.7,5.9,0.0016741735634346
JeIIy,TR,Challenger,844,959,54.4,6.2,6.1,8.0,0.0016736022468087
askın olayım,EUW,Challenger,853,923,54.5,3.5,4.4,6.2,0.0016714119827614
Lesions,LAS,GrandMaster,542,4545,61.6,4.1,4.4,8.1,0.0016708795779969
Rwrkd Darkhike,TR,Challenger,840,969,53.0,6.2,5.5,3.8,0.0016688029339688
awr,PH,Challenger,821,1040,57.6,6.9,5.6,6.6,0.0016664718805508
Lesions,LAS,GrandMaster,542,4545,61.6,4.1,4.4,8.1,0.001665593153388
XΥΖ,EUW,Challenger,860,900,57.1,5.2,4.3,5.3,0.0016654827363196
Rich3,KR,Challenger,655,1712,56.8,4.8,5.2,5.8,0.0016637707545719
AdoReolEve,BR,GrandMaster,728,3037,54.8,6.8,5.7,4.6,0.0016625922131558
Kuzy 1,BR,GrandMaster,865,2667,53.8,4.9,4.9,5.3,0.0016611417413116
This game canwin,KR,GrandMaster,593,4027,54.8,3.9,3.8,4.6,0.0016596143429186
This game canwin,KR,GrandMaster,593,4027,54.8,3.9,3.8,4.6,0.0016581898778563
상록중,KR,Challenger,704,1515,65.6,4.9,4.6,5.9,0.0016572520033414
qazxcxz,OCE,Challenger,838,985,61.0,7.3,5.9,5.1,0.0016546663094575
Peentakilo,EUNE,Challenger,619,1926,55.8,8.4,5.6,4.0,0.0016519403453648
Kât l ï Äm,EUW,GrandMaster,815,2778,58.1,5.5,3.5,4.6,0.0016516001671401
weilaihuanweilai,KR,GrandMaster,673,3341,52.5,4.6,4.3,5.2,0.0016497572250819
Yöönšeül,LAS,Challenger,824,1023,50.7,4.3,5.1,8.0,0.0016474780504907
emot1on,BR,GrandMaster,694,3235,55.3,5.6,5.6,4.7,0.0016444523396879
HKS Heavy,BR,GrandMaster,660,3432,51.5,5.6,5.1,5.0,0.001643702074512
Papas Doradas,LAS,Challenger,775,1196,57.3,7.2,4.6,6.9,0.0016436244391373
Maybe worth its,BR,GrandMaster,806,2801,53.6,5.7,5.7,5.9,0.0016403906522137
willing555,EUW,GrandMaster,685,3275,52.8,5.6,5.2,6.7,0.0016354459761366
Diass,TR,Challenger,765,1235,53.2,5.5,4.2,4.9,0.0016347908453324
LouiseBerna,EUW,Challenger,760,1273,71.3,7.1,4.0,6.1,0.0016346397723217
lonely eboy,LAN,Challenger,846,950,52.8,4.5,2.6,4.5,0.0016339250010648
White Snow,EUW,GrandMaster,660,3425,52.8,5.3,4.6,5.4,0.0016338908899556
CU Ego,EUW,GrandMaster,655,3450,56.7,5.8,4.7,5.2,0.0016316921753087
Gruiku,EUW,GrandMaster,588,4076,52.1,5.4,6.9,5.8,0.0016313480614825
010,EUW,GrandMaster,627,3672,53.5,5.5,5.0,5.5,0.0016312271608527
Gewinnbarr,EUW,GrandMaster,742,2971,54.9,4.6,5.0,5.9,0.0016309187948101
ZeusGalaVital,EUW,Challenger,820,1035,52.2,6.1,6.9,6.1,0.0016294779210552
kookykrook,EUW,Challenger,791,1143,52.0,4.0,4.7,5.0,0.0016280130417414
Kingicepop,EUW,GrandMaster,685,3271,52.4,5.9,5.8,5.6,0.001627599774047
Witnesss Me,EUW,Challenger,723,1417,53.7,5.0,4.3,5.4,0.0016261804396893
MadDog OfShimano,BR,GrandMaster,642,3542,53.7,5.1,5.4,8.9,0.0016248090816718
PatkicaA,EUW,GrandMaster,699,3193,62.1,4.9,3.9,6.3,0.0016241767914216
죽림초,KR,Challenger,806,1089,52.0,4.7,4.6,4.4,0.0016228231851556
NNJ RagingNipps,PH,Challenger,808,1087,56.0,7.1,5.1,6.9,0.0016214388431814
Nahkffs,LAN,Challenger,722,1425,53.2,6.5,6.3,6.0,0.0016172913632615
KHADIKING,LAS,Challenger,736,1374,61.8,7.4,4.6,4.4,0.0016161837861004
oOYi一JiangOo,TW,Challenger,796,1128,57.6,6.6,4.9,4.3,0.0016159540529182
paiN Wizer,BR,GrandMaster,857,2683,54.2,6.9,5.6,6.0,0.0016152891120529
Stargazer7,LAS,Challenger,754,1296,53.4,5.2,5.1,5.6,0.0016146963873647
Sandflame,EUW,GrandMaster,703,3166,53.7,4.7,4.5,6.5,0.0016124336350418
HıtIer,LAN,Challenger,683,1579,56.5,6.7,5.4,5.7,0.0016109844123722
u should know me,EUW,GrandMaster,685,3281,52.2,4.7,5.1,5.7,0.0016087326281435
Han shu2,EUW,Challenger,762,1255,60.6,5.7,5.2,4.3,0.001608198057596
kafari,VN,Challenger,530,2389,53.3,5.6,5.2,5.8,0.0016081628209709
Mito Supremo,BR,GrandMaster,794,2827,51.9,5.1,5.2,5.5,0.0016062226899138
xRoyal,EUW,Challenger,791,1145,52.7,5.1,4.8,4.6,0.0016037198006645
Kill,RU,Challenger,706,1502,51.9,7.1,5.8,5.6,0.0016026296391953
Εemo,JP,Challenger,779,1190,55.2,5.5,5.4,6.6,0.001601899107796
Viv Mor Est,BR,GrandMaster,636,3587,53.3,4.1,4.9,5.9,0.0016008305828354
Bieshuomeibanfa,KR,Challenger,786,1163,56.3,5.3,5.3,5.0,0.0015998982445961
FUR Gru,BR,GrandMaster,907,2642,57.4,6.6,5.4,5.3,0.0015992389220498
MySwordCrimson,EUW,Challenger,764,1241,51.6,5.0,4.2,4.7,0.0015984245222831
YAHAYA ABDULLAHI,EUNE,Challenger,600,2044,61.3,5.9,3.9,6.4,0.001593918377089
亮德同學,TW,Challenger,688,1562,55.4,5.4,5.0,4.8,0.0015922650928296
jjking10,EUW,Challenger,763,1242,52.9,4.8,5.0,4.3,0.0015914191886643
bagus,SG,Challenger,776,1187,56.5,7.3,5.6,6.4,0.0015911463233371
kh1234,VN,Challenger,504,2572,55.0,7.3,5.1,5.7,0.0015904445085535
Erisipela,BR,GrandMaster,722,3073,51.1,4.9,4.0,5.6,0.0015893411465387
어리고싶다,KR,GrandMaster,739,2982,54.6,5.3,5.7,4.8,0.0015891591615881
Sasuke Uchiwa,BR,GrandMaster,604,3896,51.6,5.3,5.6,8.1,0.0015884202061881
gymslacker,EUW,GrandMaster,637,3595,61.7,6.2,5.3,6.3,0.0015867908019331
Necromartin,EUNE,Challenger,720,1434,54.1,4.3,4.2,6.9,0.0015849672791043
1vsAll,KR,Challenger,719,1438,56.8,4.0,4.2,4.3,0.0015848528216658
Qwacker,EUW,GrandMaster,642,3543,56.9,6.6,4.8,5.0,0.0015806865484802
PHẤN ĐÀO,VN,Challenger,761,1260,52.6,6.0,5.3,5.3,0.0015778233142749
KAURUYPQTY,EUW,GrandMaster,809,2793,61.1,5.8,4.3,5.2,0.0015760272500685
Mr White,OCE,Challenger,717,1442,54.8,4.6,5.3,4.2,0.0015723467508397
Gear 5 God Nika,LAN,Challenger,750,1319,56.8,6.0,5.4,6.7,0.0015719746518618
horderrr,EUW,Challenger,750,1319,54.0,4.5,4.7,5.5,0.0015702687993935
FX Tay,BR,GrandMaster,820,2751,55.6,6.0,4.7,5.7,0.0015700010628706
현기증나는사람,KR,Challenger,724,1414,53.1,4.6,4.5,5.1,0.001567648895794
BL King Mantis,EUW,GrandMaster,647,3509,52.7,6.3,6.1,4.5,0.0015663171485653
Mei You Qing Xu,EUW,Challenger,797,1123,54.8,4.3,4.7,4.8,0.0015658112557155
yddkbwp,LAN,GrandMaster,584,4118,56.6,6.2,5.0,5.3,0.0015655078314354
P42 Shadowsong,LAN,Challenger,717,1445,63.9,6.8,4.0,4.9,0.0015632647659061
meololi,VN,Challenger,552,2265,58.9,7.5,6.1,5.7,0.0015631905226932
41205,EUW,GrandMaster,625,3696,62.1,6.3,4.4,5.3,0.0015628314606853
undertheironsea,BR,GrandMaster,644,3533,51.8,4.9,4.6,5.8,0.0015627256968852
My Angel Yuchan,LAS,Challenger,600,2046,54.7,6.7,5.4,4.9,0.0015620324204431
yddkbwp,LAN,GrandMaster,584,4118,56.6,6.2,5.0,5.3,0.0015618478970365
갈과 배 음료,KR,Challenger,671,1634,52.5,4.0,3.7,5.5,0.001561777348925
Randy VI,LAN,Challenger,630,1856,53.0,6.4,4.3,5.4,0.0015608088150081
Allo1,KR,GrandMaster,667,3370,52.4,4.9,5.3,5.7,0.0015600854324781
Hakari,BR,GrandMaster,850,2692,54.1,5.5,5.4,4.8,0.0015535623451872
워키라카토키,KR,GrandMaster,642,3544,53.7,4.0,4.1,5.7,0.0015524718423603
Hobbi,EUNE,Challenger,685,1572,59.1,6.7,3.0,4.0,0.0015494437138912
lasovademesmeris,RU,Challenger,717,1450,56.7,7.9,5.1,5.7,0.0015492257190365
ANTETOKOUNMPO 34,BR,GrandMaster,694,3217,53.0,5.6,5.3,5.7,0.0015491961702669
꼬집어,KR,Challenger,719,1437,54.7,4.8,5.2,5.8,0.001548252562336
timed,LAS,Challenger,730,1393,60.6,5.2,4.6,7.2,0.001546174888353
RISE Vidal,BR,GrandMaster,653,3486,57.7,5.5,5.8,6.4,0.0015458517096702
千裡獨行,TW,Challenger,753,1300,54.5,5.8,4.9,5.3,0.0015456908969338
xAnubisDarkx,LAS,Challenger,672,1630,53.9,5.5,4.7,5.5,0.0015450687772312
Antcliff,EUW,GrandMaster,603,3900,50.1,5.1,5.0,4.6,0.0015433727549645
Kitanø,EUW,GrandMaster,657,3451,52.9,4.4,4.0,5.1,0.0015431889021007
Quinncidence,EUW,GrandMaster,814,2783,56.2,4.2,4.3,6.3,0.0015431037528167
your daddy girl,BR,Challenger,907,733,56.2,6.1,4.9,5.8,0.0015423240313975
jax w da blicky,EUW,GrandMaster,592,4042,59.4,4.7,4.1,5.4,0.0015417802136584
jax w da blicky,EUW,GrandMaster,592,4042,59.4,4.7,4.1,5.4,0.0015410388252775
happy sally,TR,Challenger,758,1279,57.6,6.3,4.3,5.4,0.0015393041164358
Zac ou Dodge,BR,GrandMaster,787,2848,51.4,4.6,4.1,7.1,0.0015384433313178
뭐라고번역하지,KR,GrandMaster,613,3799,53.5,5.0,5.0,4.4,0.0015382229169842
Mothérs Milk,EUNE,Challenger,619,1925,53.8,4.9,3.9,6.3,0.001537693143554
Yumeko,PH,Challenger,711,1475,56.6,6.5,4.0,6.2,0.0015374015402926
l Uta l,BR,Challenger,851,931,52.9,6.2,5.6,5.2,0.0015371096238222
TOP GRAND CANYÔN,EUW,GrandMaster,771,2881,51.8,5.5,5.1,4.5,0.0015363690030049
gajah strawberi,LAS,Challenger,557,2251,59.0,4.4,5.2,6.9,0.0015360860620038
Suzuran,LAN,Challenger,641,1793,59.0,6.7,4.3,6.4,0.0015342869653033
DieThal,KR,Challenger,745,1345,53.0,3.8,3.5,6.2,0.0015333665033496
Lumerion,EUW,GrandMaster,650,3492,52.1,4.4,4.9,4.6,0.0015309927255065
지저스 버돌,KR,Challenger,666,1662,56.9,4.8,5.0,4.5,0.0015306728749295
RespectNuguri,BR,GrandMaster,841,2719,52.9,5.5,6.1,5.2,0.0015303433270961
Cego,BR,GrandMaster,707,3143,51.2,4.7,3.8,6.0,0.0015284137948087
Begìn Agaìn,PH,Challenger,696,1542,55.0,6.6,6.0,7.6,0.0015267920349343
Swaggy,EUW,GrandMaster,536,4612,52.1,4.4,3.9,5.9,0.0015260005001547
MykeOxLong,PH,Challenger,715,1455,54.2,4.2,5.2,6.8,0.0015244884885636
화려한 솔로킬,KR,Challenger,665,1667,54.0,3.8,4.5,5.5,0.001523196289686
