,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
1268,TDS Phantomles,EUW,GrandMaster,651,3485,53.8,5.7,4.3,6.9,0.0038340435464182,0.0004344001345944,0.0008487802982293,0.0002960621902785,0.0002239529052521,0.0006367334363518,0.0004110036445786,0.0002655552853496,0.000301253995205,0.0001444697648228,0.0002718318917558
1269,劉溫秋,TW,Challenger,531,2377,54.8,5.7,4.8,5.8,0.0038575415853599,0.0003139202288823,0.0004892141702319,0.0004110052285395,0.0002625692022801,0.0007097029353244,0.0003843421619578,0.0003521973242062,0.0004455957083773,0.0001223940389856,0.0003666005865743
1270,Chị Sáu Đấm Bốc,VN,Challenger,534,2358,54.2,6.7,5.4,6.4,0.0038569078696043,0.0003120724376366,0.0004757274466521,0.0004171374248112,0.0002638345913212,0.0007020173544506,0.0003819761295591,0.0003573339605452,0.0004541149918922,0.0001218495662579,0.0003708439664778
1271,Branqc27,EUW,GrandMaster,543,4532,52.4,5.2,4.6,5.8,0.0038442692918192,0.0009157504622459,0.0007229854177707,0.0002333939958637,0.0002075164913985,0.0004777141807962,0.000449829161517,0.0002175370057311,0.0002306977104204,0.0001680013277005,0.0002208435383747
1272,Branqc27,EUW,GrandMaster,543,4532,52.4,5.2,4.6,5.8,0.0038442692918192,0.0009087263979857,0.0007273800239769,0.0002330334507832,0.0002071599787547,0.0004747297402807,0.0004481830932601,0.0002171796331914,0.0002303311759098,0.0001683405044574,0.0002204809333328
1273,Branqc27,EUW,GrandMaster,543,4532,52.4,5.2,4.6,5.8,0.0038355449319332,0.0009157504622459,0.0007229854177707,0.0002333939958637,0.0002075164913985,0.0004777141807962,0.000449829161517,0.0002175370057311,0.0002306977104204,0.0001680013277005,0.0002208435383747
1274,Branqc27,EUW,GrandMaster,543,4532,52.4,5.2,4.6,5.8,0.0038355449319332,0.0009087263979857,0.0007273800239769,0.0002330334507832,0.0002071599787547,0.0004747297402807,0.0004481830932601,0.0002171796331914,0.0002303311759098,0.0001683405044574,0.0002204809333328
1275,NS Showfαker,EUW,GrandMaster,728,3036,54.9,4.4,4.9,7.8,0.0038405985592688,0.0003867299257551,0.0004250148619156,0.00026319276422,0.0002918155048429,0.0003635802886568,0.0011901999261622,0.0002678642912974,0.0002669667862435,0.0001274874035768,0.0002577468065982
1276,Laceration,EUW,GrandMaster,629,3645,52.3,7.9,6.5,5.5,0.003830300101975,0.0004595089392991,0.0007354036341976,0.0002960656777158,0.0002209728071257,0.0007288599939955,0.0004118243020171,0.0002643186696985,0.0002962412175363,0.0001463440292028,0.0002707608311861
1277,Laceration,EUW,GrandMaster,629,3645,52.3,7.9,6.5,5.5,0.003830300101975,0.0004594319027123,0.0007527041005105,0.0002947144216845,0.0002204820054872,0.0007099629748159,0.0004112685188249,0.0002632666519633,0.0002950354672479,0.0001467552435849,0.0002695975519327
